Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.669,0.04,0.723,0.043,0.704,0.051,0.63,0.052,0.692,0.042,0.682,0.047
RF,0.699,0.037,0.765,0.038,0.808,0.047,0.576,0.047,0.739,0.036,0.682,0.042
XGB,0.68,0.037,0.737,0.036,0.731,0.051,0.623,0.047,0.707,0.04,0.686,0.043
KNN,0.698,0.039,0.751,0.039,0.774,0.054,0.612,0.044,0.73,0.04,0.692,0.041
MLP,0.657,0.041,0.719,0.051,0.704,0.096,0.6,0.1,0.682,0.051,0.67,0.049
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6549295774647887,0.6967164179104477,0.6865671641791045,0.6266666666666667,0.6524822695035462,0.6216216216216216
2,0.7253521126760564,0.7710685483870967,0.7625,0.6774193548387096,0.7577639751552795,0.7530864197530864
3,0.7323943661971831,0.7833763142233684,0.704225352112676,0.7605633802816901,0.7246376811594203,0.746268656716418
4,0.7464788732394366,0.7753233830845773,0.835820895522388,0.6666666666666666,0.7567567567567568,0.691358024691358
5,0.6267605633802817,0.699622791344054,0.6712328767123288,0.5797101449275363,0.6490066225165563,0.6282051282051282
6,0.6267605633802817,0.703791939646615,0.6231884057971014,0.6301369863013698,0.6187050359712231,0.6142857142857143
7,0.7112676056338029,0.797420634920635,0.7638888888888888,0.6571428571428571,0.7284768211920529,0.6962025316455697
8,0.704225352112676,0.7180894308943089,0.7317073170731707,0.6666666666666666,0.7407407407407407,0.75
9,0.6830985915492958,0.7320380489779397,0.7160493827160493,0.639344262295082,0.7204968944099379,0.725
10,0.6690140845070423,0.7161194029850746,0.6933333333333334,0.6417910447761194,0.6887417218543046,0.6842105263157895
11,0.676056338028169,0.7024875621890548,0.72,0.6268656716417911,0.7012987012987013,0.6835443037974683
12,0.6549295774647887,0.7230861244019139,0.7236842105263158,0.5757575757575758,0.6918238993710691,0.6626506024096386
13,0.6549295774647887,0.7193088205746434,0.6835443037974683,0.6190476190476191,0.6878980891719745,0.6923076923076923
14,0.6549295774647887,0.7458804844153266,0.6712328767123288,0.6376811594202898,0.6666666666666666,0.6621621621621622
15,0.6408450704225352,0.6866028708133971,0.6842105263157895,0.5909090909090909,0.6709677419354839,0.6582278481012658
