Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.67,0.042,0.73,0.043,0.706,0.059,0.631,0.056,0.693,0.042,0.684,0.041
RF,0.686,0.048,0.754,0.041,0.727,0.064,0.639,0.057,0.71,0.048,0.695,0.044
XGB,0.667,0.034,0.727,0.039,0.719,0.048,0.608,0.062,0.696,0.034,0.676,0.043
KNN,0.682,0.039,0.741,0.041,0.708,0.062,0.653,0.048,0.702,0.042,0.698,0.037
MLP,0.665,0.044,0.719,0.042,0.69,0.056,0.638,0.062,0.685,0.045,0.683,0.048
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.647887323943662,0.710547263681592,0.6865671641791045,0.6133333333333333,0.647887323943662,0.6133333333333333
2,0.7605633802816901,0.7800403225806452,0.8,0.7096774193548387,0.7901234567901234,0.7804878048780488
3,0.7183098591549296,0.7430073398135291,0.7183098591549296,0.7183098591549296,0.7183098591549296,0.7183098591549296
4,0.7605633802816901,0.8404975124378109,0.8507462686567164,0.68,0.7702702702702703,0.7037037037037037
5,0.647887323943662,0.6947587849910661,0.6438356164383562,0.6521739130434783,0.6527777777777778,0.6619718309859155
6,0.6830985915492958,0.713619217788366,0.7101449275362319,0.6575342465753424,0.6853146853146853,0.6621621621621622
7,0.6830985915492958,0.7817460317460317,0.7083333333333334,0.6571428571428571,0.6938775510204082,0.68
8,0.6126760563380281,0.6991869918699186,0.5609756097560976,0.6833333333333333,0.6258503401360545,0.7076923076923077
9,0.7183098591549296,0.7937664440396681,0.7654320987654321,0.6557377049180327,0.7560975609756098,0.7469879518072289
10,0.647887323943662,0.7075621890547263,0.68,0.6119402985074627,0.6710526315789473,0.6623376623376623
11,0.6971830985915493,0.7675621890547264,0.7066666666666667,0.6865671641791045,0.7114093959731543,0.7162162162162162
12,0.6338028169014085,0.6907894736842106,0.7236842105263158,0.5303030303030303,0.6790123456790124,0.6395348837209303
13,0.6197183098591549,0.694193289129998,0.6962025316455697,0.5238095238095238,0.6707317073170732,0.6470588235294118
14,0.6408450704225352,0.7162993845542982,0.726027397260274,0.5507246376811594,0.6751592356687898,0.6309523809523809
15,0.6408450704225352,0.6967703349282296,0.6447368421052632,0.6363636363636364,0.6577181208053692,0.6712328767123288
16,0.6408450704225352,0.7211844197138314,0.6621621621621622,0.6176470588235294,0.6577181208053692,0.6533333333333333
17,0.6408450704225352,0.6873006379585327,0.6447368421052632,0.6363636363636364,0.6577181208053692,0.6712328767123288
18,0.6408450704225352,0.7365174129353234,0.68,0.5970149253731343,0.6666666666666666,0.6538461538461539
19,0.6549295774647887,0.7354166666666667,0.6527777777777778,0.6571428571428571,0.6573426573426573,0.6619718309859155
20,0.7112676056338029,0.7708333333333334,0.7692307692307693,0.640625,0.7453416149068323,0.7228915662650602
21,0.7535211267605634,0.7899543378995433,0.7945205479452054,0.7101449275362319,0.7682119205298014,0.7435897435897436
22,0.6830985915492958,0.7229166666666667,0.7,0.6666666666666666,0.6853146853146853,0.6712328767123288
23,0.6197183098591549,0.646674703636729,0.7215189873417721,0.49206349206349204,0.6785714285714286,0.6404494382022472
24,0.6197183098591549,0.6643481717011128,0.6891891891891891,0.5441176470588235,0.6538461538461539,0.6219512195121951
25,0.6830985915492958,0.7724206349206348,0.7361111111111112,0.6285714285714286,0.7019867549668874,0.6708860759493671
26,0.676056338028169,0.6856143856143856,0.7142857142857143,0.6307692307692307,0.7051282051282052,0.6962025316455697
27,0.6971830985915493,0.7506048387096773,0.75,0.6290322580645161,0.7361963190184049,0.7228915662650602
28,0.6830985915492958,0.7532650190878039,0.759493670886076,0.5873015873015873,0.7272727272727273,0.6976744186046512
29,0.6197183098591549,0.6888687964637332,0.6075949367088608,0.6349206349206349,0.64,0.676056338028169
30,0.6690140845070423,0.7483388704318937,0.6627906976744186,0.6785714285714286,0.7080745341614907,0.76
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.647887323943662,0.7444776119402986,0.7164179104477612,0.5866666666666667,0.6575342465753424,0.6075949367088608
2,0.795774647887324,0.8310483870967742,0.8375,0.7419354838709677,0.8220858895705522,0.8072289156626506
3,0.6971830985915493,0.7607617536203134,0.7323943661971831,0.6619718309859155,0.7074829931972789,0.6842105263157895
4,0.7816901408450704,0.8258706467661692,0.835820895522388,0.7333333333333333,0.7832167832167832,0.7368421052631579
5,0.6408450704225352,0.7206670637284097,0.6438356164383562,0.6376811594202898,0.6482758620689655,0.6527777777777778
6,0.6830985915492958,0.7399245582688108,0.6956521739130435,0.6712328767123288,0.6808510638297872,0.6666666666666666
7,0.7394366197183099,0.8341269841269842,0.75,0.7285714285714285,0.7448275862068966,0.7397260273972602
8,0.647887323943662,0.7219512195121952,0.6219512195121951,0.6833333333333333,0.6710526315789473,0.7285714285714285
9,0.7253521126760564,0.7976118194697429,0.8024691358024691,0.6229508196721312,0.7692307692307693,0.7386363636363636
10,0.7323943661971831,0.7400995024875622,0.76,0.7014925373134329,0.75,0.7402597402597403
11,0.6901408450704225,0.7588059701492538,0.7333333333333333,0.6417910447761194,0.7142857142857143,0.6962025316455697
12,0.6408450704225352,0.7262759170653907,0.6842105263157895,0.5909090909090909,0.6709677419354839,0.6582278481012658
13,0.6267605633802817,0.7205143660839863,0.7215189873417721,0.5079365079365079,0.6826347305389222,0.6477272727272727
14,0.6690140845070423,0.7534246575342466,0.7397260273972602,0.5942028985507246,0.6967741935483871,0.6585365853658537
15,0.5985915492957746,0.6917862838915471,0.6052631578947368,0.5909090909090909,0.6174496644295302,0.6301369863013698
16,0.6690140845070423,0.747019077901431,0.7432432432432432,0.5882352941176471,0.7006369426751592,0.6626506024096386
17,0.6971830985915493,0.7263755980861244,0.7368421052631579,0.6515151515151515,0.7225806451612903,0.7088607594936709
18,0.676056338028169,0.7542288557213931,0.7066666666666667,0.6417910447761194,0.6973684210526315,0.6883116883116883
19,0.6830985915492958,0.7726190476190476,0.6527777777777778,0.7142857142857143,0.6762589928057554,0.7014925373134329
20,0.7464788732394366,0.8076923076923077,0.8076923076923077,0.671875,0.7777777777777778,0.75
21,0.7464788732394366,0.7881675600555885,0.7808219178082192,0.7101449275362319,0.76,0.7402597402597403
22,0.6971830985915493,0.7623015873015874,0.7857142857142857,0.6111111111111112,0.7189542483660131,0.6626506024096386
23,0.6408450704225352,0.7127787823990356,0.7468354430379747,0.5079365079365079,0.6982248520710059,0.6555555555555556
24,0.6549295774647887,0.7066772655007948,0.6756756756756757,0.6323529411764706,0.6711409395973155,0.6666666666666666
25,0.7253521126760564,0.788888888888889,0.8194444444444444,0.6285714285714286,0.7515923566878981,0.6941176470588235
26,0.6267605633802817,0.6658341658341659,0.6233766233766234,0.6307692307692307,0.6442953020134228,0.6666666666666666
27,0.704225352112676,0.7739919354838709,0.7625,0.6290322580645161,0.7439024390243902,0.7261904761904762
28,0.704225352112676,0.768635724331927,0.7721518987341772,0.6190476190476191,0.7439024390243902,0.7176470588235294
29,0.6056338028169014,0.7102672292545711,0.620253164556962,0.5873015873015873,0.6363636363636364,0.6533333333333333
30,0.6901408450704225,0.7803156146179402,0.7093023255813954,0.6607142857142857,0.7349397590361446,0.7625
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: XGB
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6197183098591549,0.7144278606965174,0.746268656716418,0.5066666666666667,0.6493506493506493,0.5747126436781609
2,0.7112676056338029,0.7439516129032259,0.7625,0.6451612903225806,0.7484662576687117,0.7349397590361446
3,0.6619718309859155,0.7317992461813133,0.6338028169014085,0.6901408450704225,0.6521739130434783,0.6716417910447762
4,0.6971830985915493,0.7932338308457713,0.7910447761194029,0.6133333333333333,0.7114093959731543,0.6463414634146342
5,0.7323943661971831,0.7722850903315465,0.726027397260274,0.7391304347826086,0.7361111111111112,0.7464788732394366
6,0.6197183098591549,0.7085566805638277,0.6521739130434783,0.589041095890411,0.625,0.6
7,0.7394366197183099,0.8265873015873016,0.75,0.7285714285714285,0.7448275862068966,0.7397260273972602
8,0.6408450704225352,0.6795731707317072,0.6951219512195121,0.5666666666666667,0.6909090909090909,0.6867469879518072
9,0.6830985915492958,0.7506577615867234,0.7407407407407407,0.6065573770491803,0.7272727272727273,0.7142857142857143
10,0.6619718309859155,0.6955223880597016,0.72,0.5970149253731343,0.6923076923076923,0.6666666666666666
11,0.6549295774647887,0.7022885572139304,0.6933333333333334,0.6119402985074627,0.6797385620915033,0.6666666666666666
12,0.6267605633802817,0.6909888357256779,0.75,0.48484848484848486,0.6826347305389222,0.6263736263736264
13,0.6408450704225352,0.7080570624874423,0.6708860759493671,0.6031746031746031,0.6751592356687898,0.6794871794871795
14,0.647887323943662,0.7180861623982528,0.684931506849315,0.6086956521739131,0.6666666666666666,0.6493506493506493
15,0.6408450704225352,0.6987639553429028,0.7105263157894737,0.5606060606060606,0.6792452830188679,0.6506024096385542
16,0.6408450704225352,0.6947535771065182,0.6621621621621622,0.6176470588235294,0.6577181208053692,0.6533333333333333
17,0.647887323943662,0.7050438596491228,0.6710526315789473,0.6212121212121212,0.6710526315789473,0.6710526315789473
18,0.6690140845070423,0.7464676616915422,0.7066666666666667,0.6268656716417911,0.6928104575163399,0.6794871794871795
19,0.6619718309859155,0.7531746031746033,0.6805555555555556,0.6428571428571429,0.6712328767123288,0.6621621621621622
20,0.6830985915492958,0.7349759615384616,0.7564102564102564,0.59375,0.7239263803680982,0.6941176470588235
21,0.7112676056338029,0.7299980146912844,0.7397260273972602,0.6811594202898551,0.7248322147651006,0.7105263157894737
22,0.647887323943662,0.71984126984127,0.7857142857142857,0.5138888888888888,0.6875,0.6111111111111112
23,0.6690140845070423,0.6760096443640747,0.7848101265822784,0.5238095238095238,0.7251461988304093,0.6739130434782609
24,0.6408450704225352,0.6840222575516693,0.6756756756756757,0.6029411764705882,0.6622516556291391,0.6493506493506493
25,0.7394366197183099,0.8,0.8333333333333334,0.6428571428571429,0.7643312101910829,0.7058823529411765
26,0.6549295774647887,0.6642357642357642,0.6493506493506493,0.6615384615384615,0.6711409395973155,0.6944444444444444
27,0.6901408450704225,0.7489919354838709,0.7625,0.5967741935483871,0.7349397590361446,0.7093023255813954
28,0.647887323943662,0.740305404862367,0.7468354430379747,0.5238095238095238,0.7023809523809523,0.6629213483146067
