Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.678,0.044,0.676,0.044,0.715,0.06,0.637,0.053,0.701,0.042,0.69,0.038
RF,0.683,0.038,0.677,0.038,0.766,0.041,0.589,0.054,0.719,0.035,0.678,0.041
XGB,0.675,0.034,0.672,0.033,0.725,0.053,0.619,0.047,0.702,0.036,0.682,0.038
KNN,0.682,0.037,0.678,0.038,0.746,0.058,0.61,0.048,0.712,0.037,0.684,0.036
MLP,0.671,0.04,0.666,0.04,0.743,0.077,0.589,0.082,0.704,0.043,0.673,0.044
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.704225352112676,0.7064676616915423,0.746268656716418,0.6666666666666666,0.704225352112676,0.6666666666666666
2,0.6971830985915493,0.6931451612903227,0.725,0.6612903225806451,0.7295597484276729,0.7341772151898734
3,0.704225352112676,0.704225352112676,0.6619718309859155,0.7464788732394366,0.6911764705882353,0.7230769230769231
4,0.7746478873239436,0.7787064676616915,0.8507462686567164,0.7066666666666667,0.7808219178082192,0.7215189873417721
5,0.6267605633802817,0.6246773873337305,0.6986301369863014,0.5507246376811594,0.6580645161290323,0.6219512195121951
6,0.704225352112676,0.7047845940043678,0.7246376811594203,0.684931506849315,0.704225352112676,0.684931506849315
7,0.6901408450704225,0.6892857142857143,0.75,0.6285714285714286,0.7105263157894737,0.675
8,0.6197183098591549,0.6148373983739838,0.6463414634146342,0.5833333333333334,0.6625,0.6794871794871795
9,0.676056338028169,0.6735478648046955,0.691358024691358,0.6557377049180327,0.7088607594936709,0.7272727272727273
10,0.6267605633802817,0.6243781094527363,0.6666666666666666,0.582089552238806,0.6535947712418301,0.6410256410256411
11,0.7112676056338029,0.7067661691542289,0.7866666666666666,0.6268656716417911,0.7421383647798742,0.7023809523809523
12,0.6338028169014085,0.6349681020733653,0.618421052631579,0.6515151515151515,0.6438356164383562,0.6714285714285714
