Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.672,0.04,0.673,0.039,0.649,0.058,0.698,0.045,0.676,0.044,0.708,0.04
RF,0.686,0.048,0.683,0.048,0.727,0.064,0.639,0.057,0.71,0.048,0.695,0.044
XGB,0.667,0.034,0.664,0.034,0.719,0.048,0.608,0.062,0.696,0.034,0.676,0.043
KNN,0.681,0.037,0.679,0.037,0.702,0.061,0.657,0.047,0.698,0.042,0.698,0.037
MLP,0.656,0.042,0.654,0.042,0.683,0.062,0.626,0.048,0.677,0.049,0.673,0.047
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6408450704225352,0.6400995024875622,0.6268656716417911,0.6533333333333333,0.6222222222222222,0.6176470588235294
2,0.7323943661971831,0.7316532258064516,0.7375,0.7258064516129032,0.7564102564102564,0.7763157894736842
3,0.6971830985915493,0.6971830985915494,0.6338028169014085,0.7605633802816901,0.6766917293233082,0.7258064516129032
4,0.795774647887324,0.796318407960199,0.8059701492537313,0.7866666666666666,0.7883211678832117,0.7714285714285715
5,0.6619718309859155,0.6636887035934088,0.6027397260273972,0.7246376811594203,0.6470588235294118,0.6984126984126984
6,0.6690140845070423,0.6681556482032955,0.6376811594202898,0.6986301369863014,0.6518518518518519,0.6666666666666666
7,0.6901408450704225,0.6906746031746033,0.6527777777777778,0.7285714285714285,0.6811594202898551,0.7121212121212122
8,0.6126760563380281,0.6266260162601627,0.5365853658536586,0.7166666666666667,0.6153846153846154,0.7213114754098361
9,0.704225352112676,0.7002631046346894,0.7283950617283951,0.6721311475409836,0.7375,0.7468354430379747
10,0.6338028169014085,0.6366169154228856,0.5866666666666667,0.6865671641791045,0.6285714285714286,0.676923076923077
11,0.6619718309859155,0.6632835820895523,0.64,0.6865671641791045,0.6666666666666666,0.6956521739130435
12,0.647887323943662,0.6501196172248804,0.618421052631579,0.6818181818181818,0.6527777777777778,0.6911764705882353
13,0.6267605633802817,0.6211573236889693,0.6708860759493671,0.5714285714285714,0.6666666666666666,0.6625
14,0.6619718309859155,0.6621004566210046,0.6575342465753424,0.6666666666666666,0.6666666666666666,0.676056338028169
15,0.647887323943662,0.6521132376395534,0.5921052631578947,0.7121212121212122,0.6428571428571429,0.703125
16,0.6549295774647887,0.6558028616852146,0.6351351351351351,0.6764705882352942,0.6573426573426573,0.6811594202898551
17,0.6338028169014085,0.6369617224880383,0.5921052631578947,0.6818181818181818,0.6338028169014085,0.6818181818181818
18,0.6901408450704225,0.693134328358209,0.64,0.746268656716418,0.6857142857142857,0.7384615384615385
19,0.6408450704225352,0.6420634920634921,0.5555555555555556,0.7285714285714285,0.6106870229007634,0.6779661016949152
20,0.704225352112676,0.702724358974359,0.717948717948718,0.6875,0.7272727272727273,0.7368421052631579
21,0.7394366197183099,0.7394282310899344,0.7397260273972602,0.7391304347826086,0.7448275862068966,0.75
22,0.6901408450704225,0.6896825396825397,0.6571428571428571,0.7222222222222222,0.6764705882352942,0.696969696969697
23,0.6408450704225352,0.6386377335744424,0.6582278481012658,0.6190476190476191,0.6709677419354839,0.6842105263157895
24,0.6267605633802817,0.6257949125596185,0.6486486486486487,0.6029411764705882,0.6442953020134228,0.64
25,0.6901408450704225,0.6904761904761905,0.6666666666666666,0.7142857142857143,0.6857142857142857,0.7058823529411765
26,0.6690140845070423,0.6720279720279719,0.6363636363636364,0.7076923076923077,0.6758620689655173,0.7205882352941176
27,0.7112676056338029,0.7129032258064516,0.7,0.7258064516129032,0.7320261437908496,0.7671232876712328
28,0.704225352112676,0.7052441229656421,0.6962025316455697,0.7142857142857143,0.7236842105263158,0.7534246575342466
29,0.6126760563380281,0.6181434599156119,0.569620253164557,0.6666666666666666,0.6206896551724138,0.6818181818181818
30,0.6619718309859155,0.6742109634551495,0.6162790697674418,0.7321428571428571,0.6883116883116883,0.7794117647058824
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.647887323943662,0.6515422885572139,0.7164179104477612,0.5866666666666667,0.6575342465753424,0.6075949367088608
2,0.795774647887324,0.7897177419354838,0.8375,0.7419354838709677,0.8220858895705522,0.8072289156626506
