Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.678,0.046,0.682,0.044,0.614,0.064,0.75,0.045,0.668,0.052,0.735,0.047
RF,0.695,0.038,0.691,0.038,0.754,0.05,0.629,0.047,0.723,0.038,0.696,0.041
XGB,0.687,0.039,0.683,0.04,0.739,0.046,0.627,0.057,0.714,0.038,0.692,0.044
KNN,0.688,0.033,0.689,0.033,0.667,0.05,0.711,0.05,0.693,0.036,0.724,0.037
MLP,0.676,0.036,0.675,0.036,0.696,0.052,0.654,0.046,0.694,0.039,0.694,0.041
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6830985915492958,0.6808955223880596,0.6417910447761194,0.72,0.6564885496183206,0.671875
2,0.7394366197183099,0.7487903225806452,0.675,0.8225806451612904,0.7448275862068966,0.8307692307692308
3,0.7112676056338029,0.7112676056338029,0.5915492957746479,0.8309859154929577,0.672,0.7777777777777778
4,0.8098591549295775,0.8080597014925373,0.7761194029850746,0.84,0.7938931297709924,0.8125
5,0.6267605633802817,0.6286480047647409,0.5616438356164384,0.6956521739130435,0.6074074074074074,0.6612903225806451
6,0.6267605633802817,0.6246773873337305,0.5507246376811594,0.6986301369863014,0.5891472868217055,0.6333333333333333
7,0.7605633802816901,0.7615079365079365,0.6944444444444444,0.8285714285714286,0.746268656716418,0.8064516129032258
8,0.6408450704225352,0.6532520325203253,0.573170731707317,0.7333333333333333,0.6482758620689655,0.746031746031746
9,0.6971830985915493,0.7001619105444241,0.6790123456790124,0.7213114754098361,0.7189542483660131,0.7638888888888888
10,0.6690140845070423,0.6739303482587065,0.5866666666666667,0.7611940298507462,0.6518518518518519,0.7333333333333333
11,0.6971830985915493,0.6998009950248756,0.6533333333333333,0.746268656716418,0.6950354609929078,0.7424242424242424
12,0.6549295774647887,0.6606858054226475,0.5789473684210527,0.7424242424242424,0.6423357664233577,0.7213114754098361
13,0.6549295774647887,0.6593329314848302,0.620253164556962,0.6984126984126984,0.6666666666666666,0.7205882352941176
14,0.704225352112676,0.7055787174905698,0.6575342465753424,0.7536231884057971,0.6956521739130435,0.7384615384615385
15,0.6338028169014085,0.6369617224880383,0.5921052631578947,0.6818181818181818,0.6338028169014085,0.6818181818181818
16,0.6971830985915493,0.6999205087440381,0.6351351351351351,0.7647058823529411,0.6861313868613139,0.746031746031746
17,0.6126760563380281,0.6182216905901117,0.5394736842105263,0.696969696969697,0.5985401459854015,0.6721311475409836
18,0.6971830985915493,0.7045771144278606,0.5733333333333334,0.835820895522388,0.6666666666666666,0.7962962962962963
19,0.6338028169014085,0.6359126984126985,0.4861111111111111,0.7857142857142857,0.5737704918032787,0.7
20,0.7394366197183099,0.7389823717948718,0.7435897435897436,0.734375,0.7581699346405228,0.7733333333333333
21,0.7253521126760564,0.7265237244391503,0.684931506849315,0.7681159420289855,0.7194244604316546,0.7575757575757576
22,0.676056338028169,0.6746031746031746,0.5714285714285714,0.7777777777777778,0.6349206349206349,0.7142857142857143
23,0.6408450704225352,0.6498894916616436,0.569620253164557,0.7301587301587301,0.6382978723404256,0.7258064516129032
24,0.6901408450704225,0.69137519872814,0.6621621621621622,0.7205882352941176,0.6901408450704225,0.7205882352941176
25,0.6549295774647887,0.6561507936507937,0.5694444444444444,0.7428571428571429,0.6259541984732825,0.6949152542372882
26,0.6267605633802817,0.6354645354645354,0.5324675324675324,0.7384615384615385,0.6074074074074074,0.7068965517241379
27,0.6408450704225352,0.6504032258064516,0.575,0.7258064516129032,0.6433566433566433,0.7301587301587301
28,0.704225352112676,0.7116736990154712,0.6455696202531646,0.7777777777777778,0.7083333333333334,0.7846153846153846
29,0.6267605633802817,0.6340164757886276,0.569620253164557,0.6984126984126984,0.6293706293706294,0.703125
30,0.6619718309859155,0.6742109634551495,0.6162790697674418,0.7321428571428571,0.6883116883116883,0.7794117647058824
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6197183098591549,0.6248756218905472,0.7164179104477612,0.5333333333333333,0.64,0.5783132530120482
2,0.7464788732394366,0.7387096774193549,0.8,0.6774193548387096,0.7804878048780488,0.7619047619047619
3,0.704225352112676,0.704225352112676,0.7464788732394366,0.6619718309859155,0.7162162162162162,0.6883116883116883
4,0.7605633802816901,0.7661691542288558,0.8656716417910447,0.6666666666666666,0.7733333333333333,0.6987951807228916
5,0.676056338028169,0.6750049632717887,0.7123287671232876,0.6376811594202898,0.6933333333333334,0.6753246753246753
6,0.6971830985915493,0.6987294024220766,0.7536231884057971,0.6438356164383562,0.7074829931972789,0.6666666666666666
7,0.7535211267605634,0.7527777777777778,0.8055555555555556,0.7,0.7682119205298014,0.7341772151898734
8,0.6619718309859155,0.6581300813008131,0.6829268292682927,0.6333333333333333,0.7,0.717948717948718
9,0.7253521126760564,0.7167577413479054,0.7777777777777778,0.6557377049180327,0.7636363636363637,0.75
10,0.6901408450704225,0.686766169154229,0.7466666666666667,0.6268656716417911,0.717948717948718,0.691358024691358
11,0.7535211267605634,0.749950248756219,0.8133333333333334,0.6865671641791045,0.7770700636942676,0.7439024390243902
12,0.6549295774647887,0.6477272727272727,0.75,0.5454545454545454,0.6993865030674846,0.6551724137931034
13,0.6971830985915493,0.6908780389793048,0.7468354430379747,0.6349206349206349,0.7329192546583851,0.7195121951219512
14,0.704225352112676,0.7035934087750645,0.726027397260274,0.6811594202898551,0.7162162162162162,0.7066666666666667
15,0.6197183098591549,0.6138357256778308,0.6973684210526315,0.5303030303030303,0.6625,0.6309523809523809
16,0.676056338028169,0.6748807631160572,0.7027027027027027,0.6470588235294118,0.6933333333333334,0.6842105263157895
17,0.6690140845070423,0.6668660287081338,0.6973684210526315,0.6363636363636364,0.6928104575163399,0.6883116883116883
18,0.6971830985915493,0.695820895522388,0.72,0.6716417910447762,0.7152317880794702,0.7105263157894737
19,0.704225352112676,0.7037698412698413,0.7361111111111112,0.6714285714285714,0.7162162162162162,0.6973684210526315
20,0.7183098591549296,0.7043269230769231,0.8461538461538461,0.5625,0.7674418604651163,0.7021276595744681
21,0.7183098591549296,0.7176891006551518,0.7397260273972602,0.6956521739130435,0.7297297297297297,0.72
22,0.6690140845070423,0.670436507936508,0.7714285714285715,0.5694444444444444,0.6967741935483871,0.6352941176470588
23,0.6901408450704225,0.6797267430178823,0.7721518987341772,0.5873015873015873,0.7349397590361446,0.7011494252873564
24,0.6901408450704225,0.6877980922098569,0.7432432432432432,0.6323529411764706,0.7142857142857143,0.6875
25,0.704225352112676,0.702579365079365,0.8194444444444444,0.5857142857142857,0.7375,0.6704545454545454
26,0.6126760563380281,0.6092907092907093,0.6493506493506493,0.5692307692307692,0.6451612903225806,0.6410256410256411
27,0.7112676056338029,0.7002016129032258,0.7875,0.6129032258064516,0.7544910179640718,0.7241379310344828
28,0.7464788732394366,0.7367892304601166,0.8227848101265823,0.6507936507936508,0.7831325301204819,0.7471264367816092
29,0.6619718309859155,0.6576250753465944,0.6962025316455697,0.6190476190476191,0.6962025316455697,0.6962025316455697
30,0.7183098591549296,0.7051495016611296,0.7674418604651163,0.6428571428571429,0.7674418604651163,0.7674418604651163
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: XGB
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6408450704225352,0.6464676616915422,0.746268656716418,0.5466666666666666,0.6622516556291391,0.5952380952380952
2,0.7746478873239436,0.7709677419354839,0.8,0.7419354838709677,0.8,0.8
3,0.7535211267605634,0.7535211267605635,0.7183098591549296,0.7887323943661971,0.7445255474452555,0.7727272727272727
4,0.7394366197183099,0.7437810945273632,0.8208955223880597,0.6666666666666666,0.7482993197278912,0.6875
5,0.676056338028169,0.6750049632717887,0.7123287671232876,0.6376811594202898,0.6933333333333334,0.6753246753246753
6,0.6690140845070423,0.6689497716894977,0.6666666666666666,0.6712328767123288,0.6618705035971223,0.6571428571428571
7,0.7535211267605634,0.7529761904761905,0.7916666666666666,0.7142857142857143,0.7651006711409396,0.7402597402597403
8,0.6267605633802817,0.6164634146341464,0.6829268292682927,0.55,0.6787878787878788,0.6746987951807228
9,0.7535211267605634,0.7414490993725967,0.8271604938271605,0.6557377049180327,0.7928994082840237,0.7613636363636364
10,0.676056338028169,0.6718407960199004,0.7466666666666667,0.5970149253731343,0.7088607594936709,0.6746987951807228
11,0.7183098591549296,0.7150248756218905,0.7733333333333333,0.6567164179104478,0.7435897435897436,0.7160493827160493
12,0.647887323943662,0.6411483253588517,0.7368421052631579,0.5454545454545454,0.691358024691358,0.6511627906976745
13,0.6971830985915493,0.6876632509543903,0.7721518987341772,0.6031746031746031,0.7393939393939394,0.7093023255813954
14,0.647887323943662,0.646019456025412,0.7123287671232876,0.5797101449275363,0.6753246753246753,0.6419753086419753
15,0.647887323943662,0.6441387559808611,0.6973684210526315,0.5909090909090909,0.6794871794871795,0.6625
16,0.704225352112676,0.702503974562798,0.7432432432432432,0.6617647058823529,0.7236842105263158,0.7051282051282052
17,0.6690140845070423,0.6678628389154705,0.6842105263157895,0.6515151515151515,0.6887417218543046,0.6933333333333334
18,0.676056338028169,0.6726368159203979,0.7333333333333333,0.6119402985074627,0.7051282051282052,0.6790123456790124
19,0.6971830985915493,0.6966269841269841,0.7361111111111112,0.6571428571428571,0.7114093959731543,0.6883116883116883
20,0.704225352112676,0.695713141025641,0.782051282051282,0.609375,0.7439024390243902,0.7093023255813954
21,0.7323943661971831,0.7301965455628351,0.8082191780821918,0.6521739130434783,0.7564102564102564,0.7108433734939759
22,0.647887323943662,0.6488095238095238,0.7142857142857143,0.5833333333333334,0.6666666666666666,0.625
23,0.676056338028169,0.6638537271448665,0.7721518987341772,0.5555555555555556,0.7261904761904762,0.6853932584269663
24,0.6619718309859155,0.6595786963434023,0.7162162162162162,0.6029411764705882,0.6883116883116883,0.6625
25,0.6690140845070423,0.6682539682539683,0.7222222222222222,0.6142857142857143,0.6887417218543046,0.6582278481012658
26,0.647887323943662,0.6489510489510488,0.6363636363636364,0.6615384615384615,0.6621621621621622,0.6901408450704225
27,0.6690140845070423,0.6590725806451613,0.7375,0.5806451612903226,0.7151515151515152,0.6941176470588235
28,0.6971830985915493,0.6876632509543903,0.7721518987341772,0.6031746031746031,0.7393939393939394,0.7093023255813954
29,0.6338028169014085,0.6274864376130199,0.6835443037974683,0.5714285714285714,0.675,0.6666666666666666
30,0.704225352112676,0.6966362126245846,0.7325581395348837,0.6607142857142857,0.75,0.7682926829268293
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: KNN
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6690140845070423,0.6699502487562189,0.6865671641791045,0.6533333333333333,0.6618705035971223,0.6388888888888888
2,0.6690140845070423,0.6699596774193549,0.6625,0.6774193548387096,0.6928104575163399,0.726027397260274
3,0.7394366197183099,0.7394366197183099,0.6901408450704225,0.7887323943661971,0.725925925925926,0.765625
4,0.7605633802816901,0.7605970149253731,0.7611940298507462,0.76,0.75,0.7391304347826086
5,0.6830985915492958,0.6850307722850904,0.6164383561643836,0.7536231884057971,0.6666666666666666,0.7258064516129032
6,0.6690140845070423,0.6665674012308913,0.5797101449275363,0.7534246575342466,0.6299212598425197,0.6896551724137931
7,0.6830985915492958,0.683531746031746,0.6527777777777778,0.7142857142857143,0.6762589928057554,0.7014925373134329
