Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.671,0.036,0.671,0.035,0.679,0.052,0.664,0.055,0.686,0.038,0.696,0.045
RF,0.702,0.036,0.699,0.035,0.755,0.057,0.644,0.038,0.728,0.04,0.704,0.038
XGB,0.677,0.033,0.674,0.032,0.718,0.054,0.629,0.047,0.701,0.038,0.686,0.038
KNN,0.631,0.043,0.642,0.041,0.465,0.056,0.819,0.044,0.571,0.056,0.743,0.061
MLP,0.661,0.041,0.66,0.041,0.671,0.064,0.649,0.055,0.676,0.047,0.683,0.048
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6056338028169014,0.6107462686567164,0.7014925373134329,0.52,0.6266666666666667,0.5662650602409639
2,0.6971830985915493,0.6913306451612903,0.7375,0.6451612903225806,0.7329192546583851,0.7283950617283951
3,0.7183098591549296,0.7183098591549296,0.647887323943662,0.7887323943661971,0.696969696969697,0.7540983606557377
4,0.7112676056338029,0.7139303482587065,0.7611940298507462,0.6666666666666666,0.7132867132867133,0.6710526315789473
5,0.6830985915492958,0.6834425253126861,0.6712328767123288,0.6956521739130435,0.6853146853146853,0.7
6,0.6619718309859155,0.6613063331348025,0.6376811594202898,0.684931506849315,0.6470588235294118,0.6567164179104478
7,0.7112676056338029,0.711111111111111,0.7222222222222222,0.7,0.7172413793103448,0.7123287671232876
8,0.6338028169014085,0.6404471544715448,0.5975609756097561,0.6833333333333333,0.6533333333333333,0.7205882352941176
9,0.6901408450704225,0.6899413074276463,0.691358024691358,0.6885245901639344,0.717948717948718,0.7466666666666667
10,0.6549295774647887,0.652636815920398,0.6933333333333334,0.6119402985074627,0.6797385620915033,0.6666666666666666
11,0.6690140845070423,0.6675621890547264,0.6933333333333334,0.6417910447761194,0.6887417218543046,0.6842105263157895
12,0.647887323943662,0.6421451355661881,0.7236842105263158,0.5606060606060606,0.6875,0.6547619047619048
13,0.6619718309859155,0.660839863371509,0.6708860759493671,0.6507936507936508,0.6883116883116883,0.7066666666666667
14,0.7253521126760564,0.7253325392098472,0.726027397260274,0.7246376811594203,0.7310344827586207,0.7361111111111112
15,0.6549295774647887,0.6527113237639554,0.6842105263157895,0.6212121212121212,0.6797385620915033,0.6753246753246753
16,0.6408450704225352,0.6399046104928459,0.6621621621621622,0.6176470588235294,0.6577181208053692,0.6533333333333333
17,0.6549295774647887,0.657695374800638,0.618421052631579,0.696969696969697,0.6573426573426573,0.7014925373134329
18,0.704225352112676,0.7072636815920398,0.6533333333333333,0.7611940298507462,0.7,0.7538461538461538
19,0.6549295774647887,0.6551587301587302,0.6388888888888888,0.6714285714285714,0.6524822695035462,0.6666666666666666
20,0.6830985915492958,0.6736778846153846,0.7692307692307693,0.578125,0.7272727272727273,0.6896551724137931
21,0.7394366197183099,0.7394282310899344,0.7397260273972602,0.7391304347826086,0.7448275862068966,0.75
22,0.6549295774647887,0.65515873015873,0.6714285714285714,0.6388888888888888,0.6573426573426573,0.6438356164383562
23,0.6690140845070423,0.6719911593329314,0.6455696202531646,0.6984126984126984,0.6845637583892618,0.7285714285714285
24,0.647887323943662,0.6484499205087441,0.6351351351351351,0.6617647058823529,0.6527777777777778,0.6714285714285714
25,0.6549295774647887,0.6551587301587302,0.6388888888888888,0.6714285714285714,0.6524822695035462,0.6666666666666666
26,0.5985915492957746,0.6010989010989011,0.5714285714285714,0.6307692307692307,0.6068965517241379,0.6470588235294118
27,0.7112676056338029,0.7074596774193549,0.7375,0.6774193548387096,0.7421383647798742,0.7468354430379747
28,0.7253521126760564,0.719409282700422,0.7721518987341772,0.6666666666666666,0.7577639751552795,0.7439024390243902
29,0.6056338028169014,0.6069921639541893,0.5949367088607594,0.6190476190476191,0.6266666666666667,0.6619718309859155
30,0.6690140845070423,0.6737956810631228,0.6511627906976745,0.6964285714285714,0.7044025157232704,0.7671232876712328
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6619718309859155,0.6680597014925374,0.7761194029850746,0.56,0.6842105263157895,0.611764705882353
2,0.7605633802816901,0.7530241935483871,0.8125,0.6935483870967742,0.7926829268292683,0.7738095238095238
3,0.7535211267605634,0.7535211267605633,0.7746478873239436,0.7323943661971831,0.7586206896551724,0.7432432432432432
4,0.7394366197183099,0.7445771144278607,0.835820895522388,0.6533333333333333,0.7516778523489933,0.6829268292682927
5,0.704225352112676,0.7027992852888624,0.7534246575342466,0.6521739130434783,0.7236842105263158,0.6962025316455697
6,0.6830985915492958,0.6846337105419893,0.7391304347826086,0.6301369863013698,0.6938775510204082,0.6538461538461539
7,0.7112676056338029,0.7107142857142857,0.75,0.6714285714285714,0.7248322147651006,0.7012987012987013
8,0.704225352112676,0.6991869918699187,0.7317073170731707,0.6666666666666666,0.7407407407407407,0.75
9,0.7112676056338029,0.702388180530257,0.7654320987654321,0.639344262295082,0.7515151515151515,0.7380952380952381
10,0.7183098591549296,0.715820895522388,0.76,0.6716417910447762,0.7402597402597403,0.7215189873417721
11,0.7253521126760564,0.7224875621890547,0.7733333333333333,0.6716417910447762,0.7483870967741936,0.725
12,0.676056338028169,0.6724481658692185,0.7236842105263158,0.6212121212121212,0.7051282051282052,0.6875
13,0.6901408450704225,0.6781193490054249,0.7848101265822784,0.5714285714285714,0.7380952380952381,0.6966292134831461
14,0.6830985915492958,0.6818542783402819,0.726027397260274,0.6376811594202898,0.7019867549668874,0.6794871794871795
15,0.6408450704225352,0.6385566188197767,0.6710526315789473,0.6060606060606061,0.6666666666666666,0.6623376623376623
16,0.7183098591549296,0.7166136724960255,0.7567567567567568,0.6764705882352942,0.7368421052631579,0.717948717948718
17,0.676056338028169,0.6724481658692185,0.7236842105263158,0.6212121212121212,0.7051282051282052,0.6875
18,0.7112676056338029,0.7107462686567164,0.72,0.7014925373134329,0.7248322147651006,0.7297297297297297
19,0.6830985915492958,0.6825396825396826,0.7222222222222222,0.6428571428571429,0.697986577181208,0.6753246753246753
20,0.7746478873239436,0.7626201923076923,0.8846153846153846,0.640625,0.8117647058823529,0.75
21,0.6971830985915493,0.6963470319634704,0.726027397260274,0.6666666666666666,0.7114093959731543,0.6973684210526315
22,0.6901408450704225,0.6908730158730159,0.7428571428571429,0.6388888888888888,0.7027027027027027,0.6666666666666666
23,0.7112676056338029,0.7003214788024916,0.7974683544303798,0.6031746031746031,0.7544910179640718,0.7159090909090909
24,0.676056338028169,0.6736883942766296,0.7297297297297297,0.6176470588235294,0.7012987012987013,0.675
25,0.7253521126760564,0.7238095238095239,0.8333333333333334,0.6142857142857143,0.7547169811320755,0.6896551724137931
26,0.6126760563380281,0.6152847152847152,0.5844155844155844,0.6461538461538462,0.6206896551724138,0.6617647058823529
27,0.704225352112676,0.6975806451612903,0.75,0.6451612903225806,0.7407407407407407,0.7317073170731707
28,0.7605633802816901,0.7478400642957606,0.8607594936708861,0.6349206349206349,0.8,0.7472527472527473
29,0.6408450704225352,0.6354229455495278,0.6835443037974683,0.5873015873015873,0.6792452830188679,0.675
30,0.7253521126760564,0.7203073089700996,0.7441860465116279,0.6964285714285714,0.7664670658682635,0.7901234567901234
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: XGB
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6619718309859155,0.6672636815920396,0.7611940298507462,0.5733333333333334,0.68,0.6144578313253012
2,0.7112676056338029,0.7002016129032258,0.7875,0.6129032258064516,0.7544910179640718,0.7241379310344828
3,0.7394366197183099,0.7394366197183098,0.7323943661971831,0.7464788732394366,0.7375886524822695,0.7428571428571429
4,0.7394366197183099,0.7413930348258707,0.7761194029850746,0.7066666666666667,0.7375886524822695,0.7027027027027027
5,0.7112676056338029,0.7084574151280525,0.8082191780821918,0.6086956521739131,0.7421383647798742,0.686046511627907
6,0.6690140845070423,0.6681556482032955,0.6376811594202898,0.6986301369863014,0.6518518518518519,0.6666666666666666
7,0.676056338028169,0.6753968253968254,0.7222222222222222,0.6285714285714286,0.6933333333333334,0.6666666666666666
8,0.6830985915492958,0.6764227642276421,0.7195121951219512,0.6333333333333333,0.7239263803680982,0.7283950617283951
9,0.6971830985915493,0.6880186197126088,0.7530864197530864,0.6229508196721312,0.7393939393939394,0.7261904761904762
10,0.676056338028169,0.6750248756218906,0.6933333333333334,0.6567164179104478,0.6933333333333334,0.6933333333333334
11,0.647887323943662,0.6443781094527363,0.7066666666666667,0.582089552238806,0.6794871794871795,0.654320987654321
12,0.676056338028169,0.6694577352472089,0.7631578947368421,0.5757575757575758,0.7160493827160493,0.6744186046511628
13,0.676056338028169,0.6718906972071529,0.7088607594936709,0.6349206349206349,0.7088607594936709,0.7088607594936709
14,0.6901408450704225,0.688703593408775,0.7397260273972602,0.6376811594202898,0.7105263157894737,0.6835443037974683
15,0.6408450704225352,0.6365629984051036,0.6973684210526315,0.5757575757575758,0.6751592356687898,0.654320987654321
16,0.6338028169014085,0.6313593004769474,0.6891891891891891,0.5735294117647058,0.6623376623376623,0.6375
17,0.6619718309859155,0.6652711323763956,0.618421052631579,0.7121212121212122,0.6619718309859155,0.7121212121212122
18,0.704225352112676,0.7048756218905473,0.6933333333333334,0.7164179104477612,0.7123287671232876,0.7323943661971831
19,0.6267605633802817,0.6263888888888889,0.6527777777777778,0.6,0.6394557823129252,0.6266666666666667
20,0.6901408450704225,0.6814903846153846,0.7692307692307693,0.59375,0.7317073170731707,0.6976744186046512
21,0.6690140845070423,0.6677585864601945,0.7123287671232876,0.6231884057971014,0.6887417218543046,0.6666666666666666
22,0.647887323943662,0.6492063492063492,0.7428571428571429,0.5555555555555556,0.6753246753246753,0.6190476190476191
23,0.6619718309859155,0.6576250753465944,0.6962025316455697,0.6190476190476191,0.6962025316455697,0.6962025316455697
24,0.6830985915492958,0.6810413354531002,0.7297297297297297,0.6323529411764706,0.7058823529411765,0.6835443037974683
25,0.676056338028169,0.6751984126984127,0.7361111111111112,0.6142857142857143,0.6973684210526315,0.6625
26,0.5845070422535211,0.586913086913087,0.5584415584415584,0.6153846153846154,0.593103448275862,0.6323529411764706
27,0.6830985915492958,0.6733870967741935,0.75,0.5967741935483871,0.7272727272727273,0.7058823529411765
28,0.7253521126760564,0.7161944946755073,0.7974683544303798,0.6349206349206349,0.7636363636363637,0.7325581395348837
29,0.6408450704225352,0.6402451275868997,0.6455696202531646,0.6349206349206349,0.6666666666666666,0.6891891891891891
30,0.7112676056338029,0.7024501661129567,0.7441860465116279,0.6607142857142857,0.757396449704142,0.7710843373493976
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: KNN
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.5985915492957746,0.588955223880597,0.417910447761194,0.76,0.49557522123893805,0.6086956521739131
2,0.6197183098591549,0.6443548387096774,0.45,0.8387096774193549,0.5714285714285714,0.782608695652174
3,0.6971830985915493,0.6971830985915493,0.5211267605633803,0.8732394366197183,0.6324786324786325,0.8043478260869565
4,0.7253521126760564,0.7161194029850746,0.5522388059701493,0.88,0.6548672566371682,0.8043478260869565
5,0.6338028169014085,0.6394679372642446,0.4383561643835616,0.8405797101449275,0.5517241379310345,0.7441860465116279
6,0.5704225352112676,0.5635298788961685,0.3188405797101449,0.8082191780821918,0.41904761904761906,0.6111111111111112
7,0.676056338028169,0.6779761904761904,0.5416666666666666,0.8142857142857143,0.6290322580645161,0.75
8,0.5422535211267606,0.565650406504065,0.4146341463414634,0.7166666666666667,0.5112781954887218,0.6666666666666666
9,0.6126760563380281,0.6341833636915604,0.48148148148148145,0.7868852459016393,0.5864661654135338,0.75
10,0.5985915492957746,0.6096517412935324,0.41333333333333333,0.8059701492537313,0.5210084033613446,0.7045454545454546
11,0.6267605633802817,0.6387064676616916,0.4266666666666667,0.8507462686567164,0.5470085470085471,0.7619047619047619
12,0.6126760563380281,0.6222089314194578,0.4868421052631579,0.7575757575757576,0.5736434108527132,0.6981132075471698
13,0.5845070422535211,0.602471368294153,0.4430379746835443,0.7619047619047619,0.5426356589147286,0.7
14,0.676056338028169,0.6805638276752034,0.5205479452054794,0.8405797101449275,0.6229508196721312,0.7755102040816326
15,0.5633802816901409,0.5771531100478469,0.3815789473684211,0.7727272727272727,0.48333333333333334,0.6590909090909091
16,0.6267605633802817,0.6347376788553258,0.44594594594594594,0.8235294117647058,0.5546218487394958,0.7333333333333333
17,0.6056338028169014,0.6236044657097288,0.3684210526315789,0.8787878787878788,0.5,0.7777777777777778
18,0.6690140845070423,0.6810945273631842,0.4666666666666667,0.8955223880597015,0.5982905982905983,0.8333333333333334
