Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.648,0.036,0.655,0.035,0.539,0.049,0.771,0.041,0.618,0.043,0.727,0.051
RF,0.701,0.03,0.696,0.029,0.776,0.045,0.617,0.046,0.732,0.032,0.696,0.041
XGB,0.677,0.033,0.673,0.032,0.738,0.048,0.609,0.045,0.707,0.036,0.68,0.042
KNN,0.671,0.033,0.672,0.032,0.661,0.057,0.683,0.044,0.679,0.042,0.701,0.039
MLP,0.644,0.042,0.642,0.04,0.679,0.097,0.606,0.074,0.666,0.058,0.661,0.048
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6408450704225352,0.6353233830845771,0.5373134328358209,0.7333333333333333,0.5853658536585366,0.6428571428571429
2,0.647887323943662,0.6711693548387098,0.4875,0.8548387096774194,0.609375,0.8125
3,0.6971830985915493,0.6971830985915494,0.5492957746478874,0.8450704225352113,0.6446280991735537,0.78
4,0.6549295774647887,0.651044776119403,0.582089552238806,0.72,0.6141732283464567,0.65
5,0.6549295774647887,0.6584276354973198,0.5342465753424658,0.782608695652174,0.6141732283464567,0.7222222222222222
6,0.5985915492957746,0.5948977566011515,0.463768115942029,0.726027397260274,0.5289256198347108,0.6153846153846154
7,0.6901408450704225,0.6912698412698413,0.6111111111111112,0.7714285714285715,0.6666666666666666,0.7333333333333333
8,0.5704225352112676,0.5900406504065041,0.4634146341463415,0.7166666666666667,0.5547445255474452,0.6909090909090909
9,0.6338028169014085,0.6547257640153815,0.5061728395061729,0.8032786885245902,0.6119402985074627,0.7735849056603774
10,0.6901408450704225,0.694726368159204,0.6133333333333333,0.7761194029850746,0.6764705882352942,0.7540983606557377
11,0.6267605633802817,0.634726368159204,0.49333333333333335,0.7761194029850746,0.5826771653543307,0.7115384615384616
12,0.676056338028169,0.6844098883572568,0.5657894736842105,0.803030303030303,0.6515151515151515,0.7678571428571429
13,0.6197183098591549,0.632509543901949,0.5189873417721519,0.746031746031746,0.6029411764705882,0.7192982456140351
14,0.5915492957746479,0.5947984911653762,0.4794520547945205,0.7101449275362319,0.546875,0.6363636363636364
15,0.6830985915492958,0.6899920255183413,0.5921052631578947,0.7878787878787878,0.6666666666666666,0.7627118644067796
16,0.6619718309859155,0.6679252782193958,0.527027027027027,0.8088235294117647,0.6190476190476191,0.75
17,0.6197183098591549,0.6297846889952153,0.4868421052631579,0.7727272727272727,0.578125,0.7115384615384616
18,0.6549295774647887,0.6621890547263681,0.5333333333333333,0.7910447761194029,0.6201550387596899,0.7407407407407407
19,0.647887323943662,0.6492063492063492,0.5555555555555556,0.7428571428571429,0.6153846153846154,0.6896551724137931
20,0.6830985915492958,0.6933092948717949,0.5897435897435898,0.796875,0.6715328467153284,0.7796610169491526
21,0.6830985915492958,0.6866190192574946,0.5616438356164384,0.8115942028985508,0.6456692913385826,0.7592592592592593
22,0.6971830985915493,0.6950396825396824,0.5428571428571428,0.8472222222222222,0.6386554621848739,0.7755102040816326
23,0.6971830985915493,0.7037371910789632,0.6455696202531646,0.7619047619047619,0.7034482758620689,0.7727272727272727
24,0.6197183098591549,0.6232114467408585,0.5405405405405406,0.7058823529411765,0.5970149253731343,0.6666666666666666
25,0.6690140845070423,0.670436507936508,0.5694444444444444,0.7714285714285715,0.6356589147286822,0.7192982456140351
26,0.6056338028169014,0.6135864135864135,0.5194805194805194,0.7076923076923077,0.5882352941176471,0.6779661016949152
27,0.6126760563380281,0.6308467741935484,0.4875,0.7741935483870968,0.5864661654135338,0.7358490566037735
28,0.676056338028169,0.6847498493068114,0.6075949367088608,0.7619047619047619,0.676056338028169,0.7619047619047619
29,0.5774647887323944,0.5929274663451879,0.45569620253164556,0.7301587301587301,0.5454545454545454,0.6792452830188679
30,0.647887323943662,0.6750415282392027,0.5465116279069767,0.8035714285714286,0.6527777777777778,0.8103448275862069
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.647887323943662,0.653134328358209,0.746268656716418,0.56,0.6666666666666666,0.6024096385542169
2,0.7112676056338029,0.7038306451612902,0.7625,0.6451612903225806,0.7484662576687117,0.7349397590361446
3,0.7464788732394366,0.7464788732394365,0.7887323943661971,0.704225352112676,0.7567567567567568,0.7272727272727273
4,0.7112676056338029,0.717910447761194,0.835820895522388,0.6,0.7320261437908496,0.6511627906976745
5,0.6690140845070423,0.6673615247170935,0.726027397260274,0.6086956521739131,0.6928104575163399,0.6625
6,0.6830985915492958,0.6854278340281913,0.7681159420289855,0.6027397260273972,0.7019867549668874,0.6463414634146342
7,0.7746478873239436,0.7736111111111111,0.8472222222222222,0.7,0.7922077922077922,0.7439024390243902
8,0.6690140845070423,0.6597560975609756,0.7195121951219512,0.6,0.7151515151515152,0.7108433734939759
9,0.7535211267605634,0.7414490993725967,0.8271604938271605,0.6557377049180327,0.7928994082840237,0.7613636363636364
10,0.704225352112676,0.6993034825870647,0.7866666666666666,0.6119402985074627,0.7375,0.6941176470588235
11,0.7183098591549296,0.714228855721393,0.7866666666666666,0.6417910447761194,0.7468354430379747,0.7108433734939759
12,0.6971830985915493,0.6901913875598086,0.7894736842105263,0.5909090909090909,0.7361963190184049,0.6896551724137931
13,0.7394366197183099,0.7288527225236086,0.8227848101265823,0.6349206349206349,0.7784431137724551,0.7386363636363636
14,0.704225352112676,0.7020051618026603,0.7808219178082192,0.6231884057971014,0.7307692307692307,0.6867469879518072
15,0.6971830985915493,0.6941786283891547,0.7368421052631579,0.6515151515151515,0.7225806451612903,0.7088607594936709
16,0.704225352112676,0.7007154213036566,0.7837837837837838,0.6176470588235294,0.7341772151898734,0.6904761904761905
17,0.6830985915492958,0.6770334928229664,0.7631578947368421,0.5909090909090909,0.7204968944099379,0.6823529411764706
18,0.7112676056338029,0.7075621890547266,0.7733333333333333,0.6417910447761194,0.7388535031847133,0.7073170731707317
19,0.6619718309859155,0.6613095238095239,0.7083333333333334,0.6142857142857143,0.68,0.6538461538461539
20,0.7112676056338029,0.6979166666666667,0.8333333333333334,0.5625,0.7602339181286549,0.6989247311827957
21,0.6971830985915493,0.6947587849910661,0.7808219178082192,0.6086956521739131,0.7261146496815286,0.6785714285714286
22,0.676056338028169,0.6771825396825397,0.7571428571428571,0.5972222222222222,0.6973684210526315,0.6463414634146342
23,0.6971830985915493,0.6828410689170182,0.810126582278481,0.5555555555555556,0.7485380116959064,0.6956521739130435
24,0.6619718309859155,0.6571939586645469,0.7702702702702703,0.5441176470588235,0.7037037037037037,0.6477272727272727
25,0.6971830985915493,0.6958333333333333,0.7916666666666666,0.6,0.7261146496815286,0.6705882352941176
26,0.6549295774647887,0.6458541458541459,0.7532467532467533,0.5384615384615384,0.703030303030303,0.6590909090909091
27,0.7323943661971831,0.7171370967741936,0.8375,0.5967741935483871,0.7790697674418605,0.7282608695652174
28,0.7394366197183099,0.7272453285111513,0.8354430379746836,0.6190476190476191,0.7810650887573964,0.7333333333333333
29,0.6619718309859155,0.660839863371509,0.6708860759493671,0.6507936507936508,0.6883116883116883,0.7066666666666667
30,0.704225352112676,0.7122093023255814,0.6744186046511628,0.75,0.7341772151898734,0.8055555555555556
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: XGB
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6690140845070423,0.6731343283582089,0.746268656716418,0.6,0.6802721088435374,0.625
2,0.6619718309859155,0.6564516129032258,0.7,0.6129032258064516,0.7,0.7
3,0.6901408450704225,0.6901408450704225,0.7183098591549296,0.6619718309859155,0.6986301369863014,0.68
4,0.6690140845070423,0.674726368159204,0.7761194029850746,0.5733333333333334,0.6887417218543046,0.6190476190476191
5,0.6690140845070423,0.6669644629739925,0.7397260273972602,0.5942028985507246,0.6967741935483871,0.6585365853658537
6,0.6690140845070423,0.6701409569188009,0.7101449275362319,0.6301369863013698,0.6758620689655173,0.6447368421052632
7,0.6901408450704225,0.6890873015873017,0.7638888888888888,0.6142857142857143,0.7142857142857143,0.6707317073170732
8,0.6549295774647887,0.6408536585365854,0.7317073170731707,0.55,0.7100591715976331,0.6896551724137931
9,0.6901408450704225,0.6798218984011334,0.7530864197530864,0.6065573770491803,0.7349397590361446,0.7176470588235294
10,0.647887323943662,0.6459701492537314,0.68,0.6119402985074627,0.6710526315789473,0.6623376623376623
11,0.647887323943662,0.6435820895522388,0.72,0.5671641791044776,0.6835443037974683,0.6506024096385542
12,0.676056338028169,0.6674641148325359,0.7894736842105263,0.5454545454545454,0.7228915662650602,0.6666666666666666
13,0.704225352112676,0.6972071529033554,0.759493670886076,0.6349206349206349,0.7407407407407407,0.7228915662650602
14,0.6619718309859155,0.6605122096486004,0.7123287671232876,0.6086956521739131,0.6842105263157895,0.6582278481012658
15,0.6619718309859155,0.6582934609250398,0.7105263157894737,0.6060606060606061,0.6923076923076923,0.675
16,0.6408450704225352,0.6399046104928459,0.6621621621621622,0.6176470588235294,0.6577181208053692,0.6533333333333333
17,0.5985915492957746,0.5990829346092503,0.5921052631578947,0.6060606060606061,0.6122448979591837,0.6338028169014085
18,0.7323943661971831,0.7291542288557213,0.7866666666666666,0.6716417910447762,0.7564102564102564,0.7283950617283951
19,0.7183098591549296,0.7178571428571429,0.75,0.6857142857142857,0.7297297297297297,0.7105263157894737
20,0.676056338028169,0.6700721153846154,0.7307692307692307,0.609375,0.7125,0.6951219512195121
21,0.7112676056338029,0.7088544768711535,0.7945205479452054,0.6231884057971014,0.7388535031847133,0.6904761904761905
22,0.6549295774647887,0.6567460317460317,0.7857142857142857,0.5277777777777778,0.6918238993710691,0.6179775280898876
23,0.6690140845070423,0.6655615832831023,0.6962025316455697,0.6349206349206349,0.7006369426751592,0.7051282051282052
24,0.647887323943662,0.6436804451510334,0.7432432432432432,0.5441176470588235,0.6875,0.6395348837209303
25,0.6830985915492958,0.681547619047619,0.7916666666666666,0.5714285714285714,0.7169811320754716,0.6551724137931034
26,0.6267605633802817,0.6222777222777223,0.6753246753246753,0.5692307692307692,0.6624203821656051,0.65
27,0.704225352112676,0.6885080645161289,0.8125,0.5645161290322581,0.7558139534883721,0.7065217391304348
28,0.7183098591549296,0.7082579867389994,0.7974683544303798,0.6190476190476191,0.7590361445783133,0.7241379310344828
29,0.704225352112676,0.7004219409282701,0.7341772151898734,0.6666666666666666,0.7341772151898734,0.7341772151898734
30,0.7605633802816901,0.7556063122923589,0.7790697674418605,0.7321428571428571,0.7976190476190477,0.8170731707317073
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: KNN
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6690140845070423,0.6675621890547263,0.6417910447761194,0.6933333333333334,0.6466165413533834,0.6515151515151515
2,0.6971830985915493,0.7004032258064516,0.675,0.7258064516129032,0.7152317880794702,0.7605633802816901
3,0.6830985915492958,0.6830985915492959,0.6197183098591549,0.7464788732394366,0.6616541353383458,0.7096774193548387
4,0.6901408450704225,0.6907462686567164,0.7014925373134329,0.68,0.6811594202898551,0.6619718309859155
5,0.6690140845070423,0.6693468334325987,0.6575342465753424,0.6811594202898551,0.6713286713286714,0.6857142857142857
6,0.6619718309859155,0.6621004566210045,0.6666666666666666,0.6575342465753424,0.6571428571428571,0.647887323943662
7,0.7112676056338029,0.711111111111111,0.7222222222222222,0.7,0.7172413793103448,0.7123287671232876
8,0.647887323943662,0.6414634146341464,0.6829268292682927,0.6,0.691358024691358,0.7
9,0.6619718309859155,0.6612021857923498,0.6666666666666666,0.6557377049180327,0.6923076923076923,0.72
10,0.6690140845070423,0.6683582089552239,0.68,0.6567164179104478,0.6845637583892618,0.6891891891891891
11,0.6549295774647887,0.6566169154228856,0.6266666666666667,0.6865671641791045,0.6573426573426573,0.6911764705882353
12,0.676056338028169,0.6754385964912282,0.6842105263157895,0.6666666666666666,0.6933333333333334,0.7027027027027027
13,0.647887323943662,0.6417520594735785,0.6962025316455697,0.5873015873015873,0.6875,0.6790123456790124
14,0.6901408450704225,0.6906889021242804,0.6712328767123288,0.7101449275362319,0.6901408450704225,0.7101449275362319
15,0.6619718309859155,0.662280701754386,0.6578947368421053,0.6666666666666666,0.6756756756756757,0.6944444444444444
16,0.6408450704225352,0.6405007949125596,0.6486486486486487,0.6323529411764706,0.6530612244897959,0.6575342465753424
17,0.6830985915492958,0.6840111642743222,0.6710526315789473,0.696969696969697,0.6938775510204082,0.7183098591549296
18,0.7183098591549296,0.7182089552238807,0.72,0.7164179104477612,0.7297297297297297,0.7397260273972602
19,0.6549295774647887,0.6555555555555556,0.6111111111111112,0.7,0.6423357664233577,0.676923076923077
20,0.7535211267605634,0.7475961538461537,0.8076923076923077,0.6875,0.782608695652174,0.7590361445783133
21,0.6830985915492958,0.6858248957712925,0.589041095890411,0.782608695652174,0.6564885496183206,0.7413793103448276
22,0.6690140845070423,0.6688492063492063,0.6571428571428571,0.6805555555555556,0.6618705035971223,0.6666666666666666
23,0.6197183098591549,0.6180429977898333,0.6329113924050633,0.6031746031746031,0.6493506493506493,0.6666666666666666
24,0.676056338028169,0.675476947535771,0.6891891891891891,0.6617647058823529,0.6891891891891891,0.6891891891891891
25,0.6690140845070423,0.6692460317460317,0.6527777777777778,0.6857142857142857,0.6666666666666666,0.6811594202898551
26,0.5633802816901409,0.5746253746253746,0.44155844155844154,0.7076923076923077,0.5230769230769231,0.6415094339622641
27,0.6830985915492958,0.6806451612903226,0.7,0.6612903225806451,0.7133757961783439,0.7272727272727273
28,0.6619718309859155,0.6624472573839663,0.6582278481012658,0.6666666666666666,0.6842105263157895,0.7123287671232876
29,0.6549295774647887,0.6593329314848302,0.620253164556962,0.6984126984126984,0.6666666666666666,0.7205882352941176
30,0.7183098591549296,0.7300664451827242,0.6744186046511628,0.7857142857142857,0.7435897435897436,0.8285714285714286
,,,,,,,,,,,
