Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.647,0.037,0.644,0.037,0.688,0.053,0.599,0.047,0.673,0.041,0.66,0.042
RF,0.682,0.043,0.676,0.043,0.768,0.049,0.584,0.053,0.719,0.041,0.676,0.043
XGB,0.668,0.032,0.663,0.032,0.75,0.052,0.577,0.045,0.705,0.033,0.667,0.037
KNN,0.647,0.042,0.648,0.042,0.651,0.061,0.644,0.057,0.661,0.044,0.674,0.045
MLP,0.66,0.045,0.657,0.045,0.696,0.103,0.618,0.088,0.681,0.056,0.675,0.045
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.6197183098591549,0.6240796019900497,0.7014925373134329,0.5466666666666666,0.6351351351351351,0.5802469135802469
2,0.6408450704225352,0.6377016129032258,0.6625,0.6129032258064516,0.6751592356687898,0.6883116883116883
3,0.6971830985915493,0.6971830985915493,0.6619718309859155,0.7323943661971831,0.6861313868613139,0.7121212121212122
4,0.6971830985915493,0.6990049751243783,0.7313432835820896,0.6666666666666666,0.6950354609929078,0.6621621621621622
5,0.5985915492957746,0.5968830653166567,0.6575342465753424,0.5362318840579711,0.6274509803921569,0.6
6,0.5985915492957746,0.5996624975183641,0.6376811594202898,0.5616438356164384,0.6068965517241379,0.5789473684210527
7,0.7183098591549296,0.7170634920634921,0.8055555555555556,0.6285714285714286,0.7435897435897436,0.6904761904761905
8,0.6549295774647887,0.6475609756097561,0.6951219512195121,0.6,0.6993865030674846,0.7037037037037037
9,0.6971830985915493,0.6880186197126088,0.7530864197530864,0.6229508196721312,0.7393939393939394,0.7261904761904762
10,0.6267605633802817,0.6235820895522389,0.68,0.5671641791044776,0.6580645161290323,0.6375
11,0.6690140845070423,0.6627860696517414,0.7733333333333333,0.5522388059701493,0.7116564417177914,0.6590909090909091
12,0.6056338028169014,0.6036682615629984,0.631578947368421,0.5757575757575758,0.631578947368421,0.631578947368421
13,0.5985915492957746,0.5910186859553949,0.6582278481012658,0.5238095238095238,0.6459627329192547,0.6341463414634146
14,0.6408450704225352,0.6395672027000199,0.684931506849315,0.5942028985507246,0.6622516556291391,0.6410256410256411
15,0.5915492957746479,0.5925039872408293,0.5789473684210527,0.6060606060606061,0.6027397260273972,0.6285714285714286
16,0.6690140845070423,0.6657392686804452,0.7432432432432432,0.5882352941176471,0.7006369426751592,0.6626506024096386
17,0.6267605633802817,0.6253987240829346,0.6447368421052632,0.6060606060606061,0.6490066225165563,0.6533333333333333
18,0.6619718309859155,0.6608955223880599,0.68,0.6417910447761194,0.68,0.68
19,0.647887323943662,0.6478174603174602,0.6527777777777778,0.6428571428571429,0.6527777777777778,0.6527777777777778
20,0.6690140845070423,0.6580528846153846,0.7692307692307693,0.546875,0.718562874251497,0.6741573033707865
21,0.647887323943662,0.6468135795116141,0.684931506849315,0.6086956521739131,0.6666666666666666,0.6493506493506493
22,0.6197183098591549,0.6198412698412699,0.6285714285714286,0.6111111111111112,0.6197183098591549,0.6111111111111112
23,0.5915492957746479,0.5895117540687161,0.6075949367088608,0.5714285714285714,0.6233766233766234,0.64
24,0.647887323943662,0.6454689984101748,0.7027027027027027,0.5882352941176471,0.6753246753246753,0.65
25,0.6408450704225352,0.6398809523809524,0.7083333333333334,0.5714285714285714,0.6666666666666666,0.6296296296296297
26,0.5985915492957746,0.5963036963036963,0.6233766233766234,0.5692307692307692,0.6274509803921569,0.631578947368421
27,0.6971830985915493,0.689516129032258,0.75,0.6290322580645161,0.7361963190184049,0.7228915662650602
