Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.855,0.012,0.807,0.028,0.221,0.045,0.972,0.008,0.321,0.054,0.6,0.083
RF,0.86,0.013,0.825,0.022,0.356,0.057,0.954,0.009,0.441,0.052,0.587,0.05
XGB,0.866,0.01,0.821,0.023,0.236,0.044,0.984,0.005,0.354,0.051,0.73,0.052
KNN,0.86,0.014,0.789,0.026,0.248,0.047,0.974,0.005,0.356,0.057,0.64,0.073
MLP,0.856,0.015,0.793,0.029,0.339,0.084,0.952,0.019,0.419,0.075,0.58,0.076
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8610634648370498,0.8383491615331964,0.3125,0.9691991786447639,0.425531914893617,0.6666666666666666
2,0.8730703259005146,0.8382810930279285,0.22784810126582278,0.9742063492063492,0.32727272727272727,0.5806451612903226
3,0.8679245283018868,0.7902974538727423,0.25609756097560976,0.9680638722554891,0.35294117647058826,0.5675675675675675
4,0.8507718696397941,0.8201357466063348,0.19607843137254902,0.9896049896049897,0.31496062992125984,0.8
5,0.8713550600343053,0.8371131585164185,0.24705882352941178,0.9779116465863453,0.358974358974359,0.65625
6,0.8593481989708405,0.802174892945684,0.17777777777777778,0.9837728194726166,0.2807017543859649,0.6666666666666666
7,0.8439108061749572,0.7631446126837831,0.16129032258064516,0.9734693877551021,0.24793388429752067,0.5357142857142857
8,0.8439108061749572,0.807760083540008,0.2127659574468085,0.9652351738241309,0.3053435114503817,0.5405405405405406
9,0.823327615780446,0.7807746763754047,0.18446601941747573,0.9604166666666667,0.2695035460992908,0.5
10,0.8421955403087479,0.8074989764818269,0.19101123595505617,0.9595141700404858,0.2698412698412698,0.4594594594594595
11,0.8370497427101201,0.8110234577176727,0.24242424242424243,0.9586776859504132,0.3356643356643357,0.5454545454545454
12,0.8713550600343053,0.8393095715240003,0.2619047619047619,0.9739478957915831,0.3697478991596639,0.6285714285714286
13,0.869639794168096,0.840686636171364,0.18518518518518517,0.9800796812749004,0.2830188679245283,0.6
14,0.8542024013722127,0.7697910209864517,0.18478260869565216,0.9796334012219959,0.2857142857142857,0.6296296296296297
15,0.8627787307032591,0.8316184649610678,0.26436781609195403,0.967741935483871,0.36507936507936506,0.5897435897435898
16,0.8610634648370498,0.8490637492110246,0.32653061224489793,0.9690721649484536,0.4413793103448276,0.6808510638297872
17,0.8524871355060034,0.7585305386522424,0.17777777777777778,0.9756592292089249,0.2711864406779661,0.5714285714285714
18,0.8576329331046312,0.8266000957229257,0.23404255319148937,0.9775051124744376,0.3464566929133858,0.6666666666666666
19,0.855917667238422,0.8143452783412216,0.25555555555555554,0.9655172413793104,0.35384615384615387,0.575
20,0.8576329331046312,0.8075636440143067,0.24489795918367346,0.9814432989690721,0.366412213740458,0.7272727272727273
21,0.8473413379073756,0.7962842100683114,0.19148936170212766,0.9734151329243353,0.288,0.5806451612903226
22,0.8439108061749572,0.7387581301764072,0.1744186046511628,0.959758551307847,0.24793388429752067,0.42857142857142855
23,0.8524871355060034,0.7866031701890991,0.1724137931034483,0.9717741935483871,0.25862068965517243,0.5172413793103449
24,0.8524871355060034,0.7809373062959355,0.2826086956521739,0.9592668024439919,0.37681159420289856,0.5652173913043478
25,0.8627787307032591,0.8198908352373699,0.1282051282051282,0.9762376237623762,0.2,0.45454545454545453
26,0.8644939965694682,0.807624073147432,0.21348314606741572,0.9817813765182186,0.3247863247863248,0.6785714285714286
27,0.8301886792452831,0.8226065048098947,0.26126126126126126,0.9639830508474576,0.36942675159235666,0.6304347826086957
28,0.8387650085763293,0.7842351963925477,0.18867924528301888,0.9832285115303984,0.29850746268656714,0.7142857142857143
29,0.8662092624356775,0.7965272856130404,0.2235294117647059,0.9759036144578314,0.3275862068965517,0.6129032258064516
30,0.8627787307032591,0.8469157985716235,0.24719101123595505,0.9736842105263158,0.3548387096774194,0.6285714285714286
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8627787307032591,0.8557174024640658,0.4270833333333333,0.9486652977412731,0.5061728395061729,0.6212121212121212
2,0.8799313893653516,0.8400391802290537,0.3670886075949367,0.9603174603174603,0.453125,0.5918367346938775
3,0.8816466552315609,0.8135923275400418,0.4146341463414634,0.9580838323353293,0.49635036496350365,0.6181818181818182
4,0.8507718696397941,0.8359830418653948,0.3137254901960784,0.9646569646569647,0.423841059602649,0.6530612244897959
5,0.8782161234991424,0.8605835105126387,0.43529411764705883,0.9538152610441767,0.5103448275862069,0.6166666666666667
6,0.8627787307032591,0.8348433626324093,0.32222222222222224,0.9614604462474645,0.42028985507246375,0.6041666666666666
7,0.8524871355060034,0.7929997805573842,0.24731182795698925,0.9673469387755103,0.3484848484848485,0.5897435897435898
8,0.8490566037735849,0.8417961101683854,0.32978723404255317,0.9488752556237219,0.41333333333333333,0.5535714285714286
9,0.8336192109777015,0.793335355987055,0.30097087378640774,0.9479166666666666,0.389937106918239,0.5535714285714286
10,0.8679245283018868,0.8289814856934904,0.3595505617977528,0.9595141700404858,0.45390070921985815,0.6153846153846154
11,0.8627787307032591,0.8378412221387428,0.46464646464646464,0.9442148760330579,0.5348837209302325,0.6301369863013698
12,0.8679245283018868,0.8381644240862678,0.42857142857142855,0.9418837675350702,0.48322147651006714,0.5538461538461539
13,0.8902229845626072,0.8583198071909891,0.37037037037037035,0.9741035856573705,0.4838709677419355,0.6976744186046512
14,0.8542024013722127,0.8015363499512973,0.32608695652173914,0.9531568228105907,0.41379310344827586,0.5660377358490566
15,0.8644939965694682,0.8280844456803856,0.3793103448275862,0.9495967741935484,0.45517241379310347,0.5689655172413793
16,0.8679245283018868,0.8613928045444982,0.3877551020408163,0.9649484536082474,0.49673202614379086,0.6909090909090909
17,0.8524871355060034,0.8021523551949516,0.35555555555555557,0.9432048681541582,0.4266666666666667,0.5333333333333333
18,0.8421955403087479,0.8009289474829222,0.26595744680851063,0.9529652351738241,0.352112676056338,0.5208333333333334
19,0.8593481989708405,0.8360378634212305,0.3111111111111111,0.9594320486815415,0.4057971014492754,0.5833333333333334
20,0.8610634648370498,0.8334209972648854,0.37755102040816324,0.9587628865979382,0.4774193548387097,0.6491228070175439
21,0.855917667238422,0.8152765087238394,0.3191489361702128,0.9591002044989775,0.4166666666666667,0.6
22,0.8456260720411664,0.7861354171540874,0.27906976744186046,0.9436619718309859,0.34782608695652173,0.46153846153846156
23,0.8576329331046312,0.7942737300704485,0.27586206896551724,0.9596774193548387,0.366412213740458,0.5454545454545454
24,0.855917667238422,0.8072810590631365,0.391304347826087,0.9429735234215886,0.46153846153846156,0.5625
25,0.8713550600343053,0.8332952526021833,0.3333333333333333,0.9544554455445544,0.4094488188976378,0.5306122448979592
26,0.8662092624356775,0.8046899877177819,0.34831460674157305,0.9595141700404858,0.44285714285714284,0.6078431372549019
27,0.8370497427101201,0.8459115895556573,0.40540540540540543,0.9385593220338984,0.4864864864864865,0.6081081081081081
28,0.8336192109777015,0.8043491159368696,0.3490566037735849,0.9412997903563941,0.4327485380116959,0.5692307692307692
29,0.8593481989708405,0.8276399716513112,0.3176470588235294,0.9518072289156626,0.39705882352941174,0.5294117647058824
30,0.869639794168096,0.841548014374744,0.47191011235955055,0.9412955465587044,0.525,0.5915492957746479
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: XGB
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8713550600343053,0.840466718001369,0.2916666666666667,0.9856262833675564,0.42748091603053434,0.8
2,0.8765008576329331,0.8434800080369701,0.189873417721519,0.9841269841269841,0.29411764705882354,0.6521739130434783
3,0.8747855917667239,0.7951170829073559,0.18292682926829268,0.9880239520958084,0.2912621359223301,0.7142857142857143
4,0.8456260720411664,0.8404263992499286,0.16666666666666666,0.9896049896049897,0.27419354838709675,0.7727272727272727
5,0.8765008576329331,0.8466217812426176,0.25882352941176473,0.9819277108433735,0.3793103448275862,0.7096774193548387
6,0.8747855917667239,0.8220419202163624,0.24444444444444444,0.9898580121703854,0.37606837606837606,0.8148148148148148
7,0.8576329331046312,0.7945029624753126,0.13978494623655913,0.9938775510204082,0.23853211009174313,0.8125
8,0.8593481989708405,0.8459078449288605,0.23404255319148937,0.9795501022494888,0.3492063492063492,0.6875
9,0.8507718696397941,0.7994134304207119,0.24271844660194175,0.98125,0.36496350364963503,0.7352941176470589
10,0.8679245283018868,0.8330641859618796,0.20224719101123595,0.9878542510121457,0.3185840707964602,0.75
11,0.8679245283018868,0.8467526504716587,0.32323232323232326,0.9793388429752066,0.45390070921985815,0.7619047619047619
12,0.8747855917667239,0.8254962305563508,0.23809523809523808,0.9819639278557114,0.35398230088495575,0.6896551724137931
13,0.8850771869639794,0.8629678815601791,0.2222222222222222,0.9920318725099602,0.34951456310679613,0.8181818181818182
14,0.8627787307032591,0.7933675728327283,0.20652173913043478,0.9857433808553971,0.3220338983050847,0.7307692307692307
15,0.8799313893653516,0.8344804412309974,0.28735632183908044,0.9838709677419355,0.4166666666666667,0.7575757575757576
16,0.8593481989708405,0.8555859457184937,0.23469387755102042,0.9855670103092784,0.359375,0.7666666666666667
17,0.8662092624356775,0.7970137480279468,0.25555555555555554,0.9776876267748479,0.3709677419354839,0.6764705882352942
