Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.869,0.012,0.814,0.023,0.315,0.05,0.972,0.008,0.427,0.054,0.677,0.064
RF,0.866,0.012,0.828,0.018,0.294,0.041,0.973,0.006,0.407,0.046,0.669,0.055
XGB,0.864,0.012,0.831,0.02,0.163,0.036,0.994,0.003,0.271,0.052,0.836,0.083
KNN,0.861,0.013,0.769,0.023,0.169,0.037,0.99,0.004,0.275,0.052,0.754,0.073
MLP,0.856,0.011,0.775,0.026,0.298,0.074,0.959,0.012,0.387,0.075,0.578,0.052
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8436426116838488,0.8191062349478191,0.2871287128712871,0.9604989604989606,0.38926174496644295,0.6041666666666666
2,0.8608247422680413,0.8648681516914284,0.34951456310679613,0.9707724425887265,0.47058823529411764,0.72
3,0.8694158075601375,0.7870635578174933,0.24705882352941178,0.9758551307847082,0.3559322033898305,0.6363636363636364
4,0.8865979381443299,0.8508048780487805,0.3048780487804878,0.982,0.43103448275862066,0.7352941176470589
5,0.8711340206185567,0.795633247487294,0.25842696629213485,0.9817444219066938,0.38016528925619836,0.71875
6,0.8556701030927835,0.8128071606332476,0.31313131313131315,0.9668737060041408,0.4246575342465753,0.6595744680851063
7,0.8969072164948454,0.8273748124531134,0.36046511627906974,0.9899193548387096,0.5081967213114754,0.8611111111111112
8,0.865979381443299,0.8038401190859351,0.38461538461538464,0.9707112970711297,0.5063291139240507,0.7407407407407407
9,0.8745704467353952,0.8336003715314061,0.3218390804597701,0.9717171717171718,0.43410852713178294,0.6666666666666666
10,0.8848797250859106,0.8049704142011834,0.21333333333333335,0.9842209072978304,0.32323232323232326,0.6666666666666666
11,0.8556701030927835,0.7856781376518219,0.3181818181818182,0.951417004048583,0.4,0.5384615384615384
12,0.8762886597938144,0.8412650037509377,0.3372093023255814,0.969758064516129,0.4461538461538462,0.6590909090909091
13,0.8694158075601375,0.8142137783934735,0.3655913978494624,0.9652351738241309,0.4722222222222222,0.6666666666666666
14,0.8762886597938144,0.7884372177055103,0.3333333333333333,0.975609756097561,0.45454545454545453,0.7142857142857143
15,0.8694158075601375,0.8134323559670781,0.34375,0.9732510288065843,0.4647887323943662,0.717391304347826
16,0.8780068728522337,0.8497193595877807,0.3522727272727273,0.97165991902834,0.46616541353383456,0.6888888888888889
17,0.872852233676976,0.785054049819834,0.32967032967032966,0.9735234215885947,0.44776119402985076,0.6976744186046512
18,0.8573883161512027,0.797655601659751,0.32,0.9688796680497925,0.43537414965986393,0.6808510638297872
19,0.8694158075601375,0.8105263157894737,0.3263157894736842,0.9753593429158111,0.4492753623188406,0.7209302325581395
20,0.8556701030927835,0.8139278862922915,0.2553191489361702,0.9713114754098361,0.36363636363636365,0.631578947368421
21,0.8797250859106529,0.8210735586481114,0.3291139240506329,0.9662027833001988,0.4262295081967213,0.6046511627906976
22,0.8711340206185567,0.7803071364046973,0.3333333333333333,0.9695121951219512,0.4444444444444444,0.6666666666666666
23,0.872852233676976,0.8037825570085377,0.3368421052631579,0.9774127310061602,0.463768115942029,0.7441860465116279
24,0.8419243986254296,0.8553025074764206,0.1919191919191919,0.9751552795031055,0.2923076923076923,0.6129032258064516
25,0.8573883161512027,0.7979642561249852,0.3176470588235294,0.9496981891348089,0.39416058394160586,0.5192307692307693
26,0.8539518900343642,0.8129875650972473,0.24742268041237114,0.9752577319587629,0.3609022556390977,0.6666666666666666
27,0.8865979381443299,0.838454824198205,0.4175824175824176,0.9735234215885947,0.5352112676056338,0.7450980392156863
28,0.8642611683848798,0.7835321501309281,0.25274725274725274,0.9775967413441955,0.368,0.6764705882352942
29,0.872852233676976,0.8276448602314183,0.3626373626373626,0.9674134419551935,0.4714285714285714,0.673469387755102
30,0.8745704467353952,0.8075312845049687,0.32954545454545453,0.97165991902834,0.44274809160305345,0.6744186046511628
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8487972508591065,0.8198472653918198,0.2376237623762376,0.9771309771309772,0.35294117647058826,0.6857142857142857
2,0.8539518900343642,0.8561525832539474,0.32038834951456313,0.9686847599164927,0.4370860927152318,0.6875
3,0.8625429553264605,0.8173038229376257,0.2,0.9758551307847082,0.2982456140350877,0.5862068965517241
4,0.8780068728522337,0.8379756097560975,0.3048780487804878,0.972,0.4132231404958678,0.6410256410256411
5,0.865979381443299,0.8306629897212663,0.2808988764044944,0.9716024340770791,0.390625,0.6410256410256411
6,0.8711340206185567,0.8542777673212456,0.32323232323232326,0.9834368530020704,0.460431654676259,0.8
7,0.8848797250859106,0.8233659977494374,0.3488372093023256,0.9778225806451613,0.47244094488188976,0.7317073170731707
8,0.8470790378006873,0.8182732539427101,0.3173076923076923,0.9623430962343096,0.4258064516129032,0.6470588235294118
9,0.8814432989690721,0.8440264716126784,0.3218390804597701,0.9797979797979798,0.448,0.7368421052631579
10,0.8848797250859106,0.8240894148586455,0.24,0.980276134122288,0.34951456310679613,0.6428571428571429
11,0.8573883161512027,0.797271807140228,0.2840909090909091,0.9595141700404858,0.37593984962406013,0.5555555555555556
12,0.8814432989690721,0.8532680045011252,0.3488372093023256,0.9737903225806451,0.46511627906976744,0.6976744186046512
13,0.8591065292096219,0.8119049189700288,0.3118279569892473,0.9631901840490797,0.4142857142857143,0.6170212765957447
14,0.8573883161512027,0.814182475158085,0.2777777777777778,0.9634146341463414,0.37593984962406013,0.5813953488372093
15,0.8539518900343642,0.8352301954732511,0.28125,0.9670781893004116,0.38848920863309355,0.627906976744186
16,0.8780068728522337,0.850743006993007,0.3522727272727273,0.97165991902834,0.46616541353383456,0.6888888888888889
17,0.8762886597938144,0.803674940131152,0.32967032967032966,0.9775967413441955,0.45454545454545453,0.7317073170731707
18,0.8573883161512027,0.8285477178423236,0.26,0.9813278008298755,0.3851851851851852,0.7428571428571429
19,0.8625429553264605,0.8495406895061061,0.3368421052631579,0.9650924024640657,0.4444444444444444,0.6530612244897959
20,0.8487972508591065,0.810363620509243,0.22340425531914893,0.9692622950819673,0.3230769230769231,0.5833333333333334
21,0.8900343642611683,0.8408284470392833,0.3291139240506329,0.9781312127236581,0.4482758620689655,0.7027027027027027
22,0.8625429553264605,0.8046522131887985,0.26666666666666666,0.9715447154471545,0.375,0.631578947368421
23,0.865979381443299,0.7954177023667999,0.29473684210526313,0.9774127310061602,0.417910447761194,0.717948717948718
24,0.8470790378006873,0.8553234205408119,0.2222222222222222,0.9751552795031055,0.3308270676691729,0.6470588235294118
25,0.8762886597938144,0.825470469878092,0.32941176470588235,0.9698189134808853,0.4375,0.6511627906976745
26,0.852233676975945,0.815006908279307,0.23711340206185566,0.9752577319587629,0.3484848484848485,0.6571428571428571
27,0.8745704467353952,0.8433114746760368,0.31868131868131866,0.9775967413441955,0.44274809160305345,0.725
28,0.865979381443299,0.8017725655200197,0.2967032967032967,0.9714867617107943,0.4090909090909091,0.6585365853658537
29,0.8745704467353952,0.8349969785814999,0.31868131868131866,0.9775967413441955,0.44274809160305345,0.725
30,0.872852233676976,0.8427033492822966,0.3068181818181818,0.9736842105263158,0.421875,0.675
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: XGB
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.845360824742268,0.8262077767028261,0.1188118811881188,0.997920997920998,0.21052631578947367,0.9230769230769231
2,0.852233676975945,0.8682530352473803,0.18446601941747573,0.9958246346555324,0.3064516129032258,0.9047619047619048
3,0.8711340206185567,0.8045685879985798,0.15294117647058825,0.993963782696177,0.25742574257425743,0.8125
