Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.859,0.012,0.78,0.029,0.231,0.041,0.976,0.008,0.338,0.05,0.643,0.081
RF,0.859,0.011,0.802,0.021,0.274,0.041,0.968,0.007,0.377,0.046,0.613,0.062
XGB,0.861,0.012,0.787,0.028,0.158,0.028,0.991,0.005,0.262,0.039,0.78,0.088
KNN,0.853,0.013,0.728,0.023,0.103,0.033,0.993,0.003,0.178,0.053,0.72,0.12
MLP,0.854,0.011,0.732,0.027,0.259,0.07,0.965,0.013,0.352,0.073,0.583,0.058
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8384879725085911,0.8099462752928099,0.16831683168316833,0.9792099792099792,0.265625,0.6296296296296297
2,0.8573883161512027,0.842471167683483,0.2524271844660194,0.9874739039665971,0.3851851851851852,0.8125
3,0.8711340206185567,0.7403361344537815,0.23529411764705882,0.9798792756539235,0.34782608695652173,0.6666666666666666
4,0.8814432989690721,0.8188780487804879,0.24390243902439024,0.986,0.3669724770642202,0.7407407407407407
5,0.8694158075601375,0.7681929028876177,0.21348314606741572,0.9878296146044625,0.3333333333333333,0.76
6,0.852233676975945,0.781312085659912,0.24242424242424243,0.9772256728778468,0.3582089552238806,0.6857142857142857
7,0.8797250859106529,0.7666096211552889,0.26744186046511625,0.9858870967741935,0.39655172413793105,0.7666666666666667
8,0.8402061855670103,0.7765428870292888,0.21153846153846154,0.9769874476987448,0.32116788321167883,0.6666666666666666
9,0.8539518900343642,0.8104261000812726,0.19540229885057472,0.9696969696969697,0.2857142857142857,0.53125
10,0.872852233676976,0.7646153846153845,0.14666666666666667,0.980276134122288,0.22916666666666666,0.5238095238095238
11,0.8487972508591065,0.7389814133235185,0.25,0.9554655870445344,0.3333333333333333,0.5
12,0.8642611683848798,0.814516129032258,0.26744186046511625,0.967741935483871,0.368,0.5897435897435898
13,0.8556701030927835,0.7815818985421201,0.24731182795698925,0.9713701431492843,0.35384615384615387,0.6216216216216216
14,0.8487972508591065,0.7494015356820235,0.2,0.967479674796748,0.2903225806451613,0.5294117647058824
15,0.8556701030927835,0.8188443072702332,0.22916666666666666,0.9794238683127572,0.34375,0.6875
16,0.8762886597938144,0.8037932462274567,0.3181818181818182,0.9757085020242915,0.4375,0.7
17,0.872852233676976,0.7747364651641636,0.2967032967032967,0.9796334012219959,0.421875,0.7297297297297297
18,0.8419243986254296,0.7691493775933611,0.17,0.9813278008298755,0.2698412698412698,0.6538461538461539
19,0.8573883161512027,0.7931049389387226,0.2631578947368421,0.973305954825462,0.37593984962406013,0.6578947368421053
20,0.8384879725085911,0.7195783920474363,0.1702127659574468,0.9672131147540983,0.25396825396825395,0.5
21,0.8745704467353952,0.7653320582832122,0.20253164556962025,0.9801192842942346,0.3047619047619048,0.6153846153846154
22,0.8625429553264605,0.7495257452574524,0.24444444444444444,0.975609756097561,0.3548387096774194,0.6470588235294118
23,0.8539518900343642,0.7564681724845995,0.2631578947368421,0.9691991786447639,0.37037037037037035,0.625
24,0.8487972508591065,0.7995482778091474,0.18181818181818182,0.9855072463768116,0.2903225806451613,0.72
25,0.8608247422680413,0.7659841401349272,0.27058823529411763,0.9617706237424547,0.36220472440944884,0.5476190476190477
26,0.8470790378006873,0.7762780316718036,0.21649484536082475,0.9731958762886598,0.32061068702290074,0.6176470588235294
27,0.872852233676976,0.838320538931537,0.2967032967032967,0.9796334012219959,0.421875,0.7297297297297297
28,0.8573883161512027,0.7721179024641346,0.1978021978021978,0.9796334012219959,0.3025210084033613,0.6428571428571429
29,0.8556701030927835,0.7752736062308363,0.21978021978021978,0.9735234215885947,0.3225806451612903,0.6060606060606061
30,0.8591065292096219,0.7654582259845418,0.25,0.9676113360323887,0.3492063492063492,0.5789473684210527
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8384879725085911,0.8074555896338075,0.21782178217821782,0.9688149688149689,0.3188405797101449,0.5945945945945946
