Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.846,0.015,0.662,0.029,0.394,0.057,0.93,0.011,0.443,0.053,0.511,0.06
RF,0.858,0.011,0.581,0.016,0.179,0.033,0.984,0.004,0.281,0.044,0.675,0.073
XGB,0.861,0.012,0.571,0.017,0.15,0.034,0.993,0.003,0.251,0.049,0.795,0.081
KNN,0.858,0.015,0.585,0.021,0.187,0.04,0.983,0.005,0.292,0.054,0.673,0.09
MLP,0.848,0.014,0.654,0.033,0.372,0.082,0.936,0.022,0.429,0.058,0.529,0.061
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8195876288659794,0.6170828101521171,0.3069306930693069,0.9272349272349273,0.3712574850299401,0.4696969696969697
2,0.8436426116838488,0.6954314206376553,0.46601941747572817,0.9248434237995825,0.5133689839572193,0.5714285714285714
3,0.8470790378006873,0.6422653568469642,0.35294117647058826,0.93158953722334,0.40268456375838924,0.46875
4,0.8676975945017182,0.7089024390243902,0.4878048780487805,0.93,0.5095541401273885,0.5333333333333333
5,0.8436426116838488,0.6452925222781868,0.3595505617977528,0.9310344827586207,0.4129032258064516,0.48484848484848486
6,0.8470790378006873,0.6870255348516218,0.4444444444444444,0.9296066252587992,0.4971751412429379,0.5641025641025641
7,0.872852233676976,0.6947205551387847,0.4418604651162791,0.9475806451612904,0.5066666666666667,0.59375
8,0.8384879725085911,0.6834969423881557,0.4423076923076923,0.9246861924686193,0.4946236559139785,0.5609756097560976
9,0.8573883161512027,0.6650992685475445,0.39080459770114945,0.9393939393939394,0.4503311258278146,0.53125
10,0.8487972508591065,0.6519132149901381,0.38666666666666666,0.9171597633136095,0.3972602739726027,0.4084507042253521
11,0.8281786941580757,0.6279444239970555,0.3409090909090909,0.9149797570850202,0.375,0.4166666666666667
12,0.8402061855670103,0.6899849962490622,0.47674418604651164,0.9032258064516129,0.4685714285714286,0.4606741573033708
13,0.8625429553264605,0.691800250676166,0.44086021505376344,0.9427402862985685,0.5061728395061729,0.5942028985507246
14,0.8436426116838488,0.6397018970189702,0.34444444444444444,0.9349593495934959,0.40522875816993464,0.49206349206349204
15,0.8573883161512027,0.6805555555555556,0.4166666666666667,0.9444444444444444,0.49079754601226994,0.5970149253731343
16,0.8591065292096219,0.6881900993743099,0.4431818181818182,0.9331983805668016,0.4875,0.5416666666666666
17,0.845360824742268,0.6576844743850854,0.38461538461538464,0.9307535641547862,0.4375,0.5072463768115942
18,0.852233676975945,0.665103734439834,0.38,0.950207468879668,0.4691358024691358,0.6129032258064516
19,0.8487972508591065,0.663936020750027,0.3894736842105263,0.9383983572895277,0.4567901234567901,0.5522388059701493
20,0.8367697594501718,0.6406958493198465,0.35106382978723405,0.930327868852459,0.40993788819875776,0.4925373134328358
21,0.872852233676976,0.6970329919218864,0.45569620253164556,0.9383697813121272,0.4931506849315068,0.5373134328358209
22,0.8419243986254296,0.6296070460704607,0.32222222222222224,0.9369918699186992,0.38666666666666666,0.48333333333333334
23,0.8230240549828178,0.6146438992759106,0.30526315789473685,0.9240246406570842,0.36024844720496896,0.4393939393939394
24,0.8195876288659794,0.642355229311751,0.37373737373737376,0.9109730848861284,0.4134078212290503,0.4625
25,0.8350515463917526,0.6303467866019647,0.3411764705882353,0.9195171026156942,0.37662337662337664,0.42028985507246375
26,0.8402061855670103,0.6319587628865979,0.31958762886597936,0.9443298969072165,0.4,0.5344827586206896
27,0.8745704467353952,0.7287101900136523,0.5164835164835165,0.9409368635437881,0.562874251497006,0.618421052631579
28,0.8298969072164949,0.6350909782681677,0.3516483516483517,0.9185336048879837,0.39263803680981596,0.4444444444444444
29,0.8402061855670103,0.672534186790806,0.42857142857142855,0.9164969450101833,0.45614035087719296,0.4875
30,0.8350515463917526,0.6366626794258373,0.3522727272727273,0.9210526315789473,0.3924050632911392,0.44285714285714284
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8402061855670103,0.5630699244560632,0.13861386138613863,0.9875259875259875,0.23140495867768596,0.7
