Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.777,0.017,0.73,0.024,0.661,0.041,0.799,0.017,0.482,0.038,0.38,0.037
RF,0.861,0.011,0.624,0.019,0.278,0.04,0.97,0.007,0.385,0.044,0.633,0.053
XGB,0.859,0.01,0.569,0.017,0.145,0.034,0.992,0.004,0.243,0.051,0.774,0.094
KNN,0.861,0.013,0.611,0.022,0.248,0.046,0.975,0.007,0.357,0.052,0.653,0.063
MLP,0.852,0.015,0.675,0.02,0.418,0.043,0.933,0.016,0.469,0.037,0.54,0.053
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.7697594501718213,0.7003561062967004,0.594059405940594,0.8066528066528067,0.47244094488188976,0.39215686274509803
2,0.8092783505154639,0.781249366601131,0.7378640776699029,0.824634655532359,0.5779467680608364,0.475
3,0.7920962199312714,0.7173511658184399,0.611764705882353,0.8229376257545271,0.4622222222222222,0.37142857142857144
4,0.8058419243986255,0.764658536585366,0.7073170731707317,0.822,0.5065502183406113,0.3945578231292517
5,0.7680412371134021,0.7111584657109647,0.6292134831460674,0.7931034482758621,0.4534412955465587,0.35443037974683544
6,0.7955326460481099,0.7683982683982684,0.7272727272727273,0.8095238095238095,0.5475285171102662,0.43902439024390244
7,0.7749140893470791,0.7237668792198051,0.6511627906976745,0.7963709677419355,0.4609053497942387,0.35668789808917195
8,0.7542955326460481,0.7112367235275185,0.6442307692307693,0.7782426778242678,0.48375451263537905,0.3872832369942196
9,0.7920962199312714,0.7404040404040404,0.6666666666666666,0.8141414141414142,0.48945147679324896,0.38666666666666666
10,0.781786941580756,0.7213806706114398,0.64,0.8027613412228797,0.4304932735426009,0.32432432432432434
11,0.7371134020618557,0.6910425101214576,0.625,0.757085020242915,0.41825095057034223,0.3142857142857143
12,0.7749140893470791,0.7429904351087772,0.6976744186046512,0.7883064516129032,0.47808764940239046,0.36363636363636365
13,0.7852233676975945,0.7241572663104426,0.6344086021505376,0.8139059304703476,0.48559670781893005,0.3933333333333333
14,0.7697594501718213,0.7140243902439024,0.6333333333333333,0.7947154471544715,0.4596774193548387,0.36075949367088606
15,0.7628865979381443,0.7201003086419754,0.65625,0.7839506172839507,0.4772727272727273,0.375
