Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.862,0.015,0.678,0.023,0.411,0.042,0.946,0.009,0.482,0.042,0.587,0.05
RF,0.866,0.012,0.633,0.021,0.294,0.041,0.973,0.006,0.407,0.046,0.669,0.055
XGB,0.864,0.012,0.578,0.018,0.163,0.036,0.994,0.003,0.271,0.052,0.836,0.083
KNN,0.861,0.014,0.58,0.021,0.169,0.041,0.99,0.004,0.275,0.058,0.763,0.071
MLP,0.857,0.012,0.659,0.023,0.371,0.05,0.947,0.011,0.447,0.044,0.568,0.049
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8350515463917526,0.6381713015376382,0.33663366336633666,0.9397089397089398,0.4146341463414634,0.5396825396825397
2,0.8505154639175257,0.6843646755984353,0.42718446601941745,0.941544885177453,0.5028571428571429,0.6111111111111112
3,0.8694158075601375,0.6748490945674044,0.4,0.9496981891348089,0.4722222222222222,0.576271186440678
4,0.8951890034364262,0.7198048780487805,0.47560975609756095,0.964,0.5611510791366906,0.6842105263157895
5,0.8642611683848798,0.6436515714383391,0.3258426966292135,0.9614604462474645,0.4233576642335766,0.6041666666666666
6,0.8436426116838488,0.6648785996612084,0.3939393939393939,0.9358178053830227,0.46153846153846156,0.5571428571428572
7,0.8780068728522337,0.6929388597149287,0.43023255813953487,0.9556451612903226,0.5103448275862069,0.6271186440677966
8,0.8591065292096219,0.6885259092372065,0.4230769230769231,0.9539748953974896,0.5176470588235295,0.6666666666666666
9,0.8780068728522337,0.6961685823754791,0.4367816091954023,0.9555555555555556,0.5170068027210885,0.6333333333333333
10,0.8900343642611683,0.6869428007889546,0.41333333333333333,0.960552268244576,0.49206349206349204,0.6078431372549019
11,0.8436426116838488,0.646393080603607,0.36363636363636365,0.9291497975708503,0.4129032258064516,0.47761194029850745
12,0.8694158075601375,0.6927044261065266,0.4418604651162791,0.9435483870967742,0.5,0.5757575757575758
13,0.8762886597938144,0.7130417573718583,0.4731182795698925,0.9529652351738241,0.55,0.6567164179104478
14,0.8539518900343642,0.6639566395663956,0.3888888888888889,0.9390243902439024,0.45161290322580644,0.5384615384615384
15,0.8573883161512027,0.668016975308642,0.3854166666666667,0.9506172839506173,0.4713375796178344,0.6065573770491803
16,0.8797250859106529,0.7096751932278247,0.4659090909090909,0.9534412955465587,0.5394736842105263,0.640625
17,0.8608247422680413,0.6847541460576084,0.42857142857142855,0.9409368635437881,0.49056603773584906,0.5735294117647058
18,0.8487972508591065,0.6828423236514523,0.43,0.9356846473029046,0.4942528735632184,0.581081081081081
19,0.865979381443299,0.6869123527504593,0.42105263157894735,0.9527720739219713,0.5063291139240507,0.6349206349206349
20,0.8367697594501718,0.632106731775375,0.32978723404255317,0.9344262295081968,0.39490445859872614,0.49206349206349204
21,0.8780068728522337,0.7000150992777512,0.45569620253164556,0.9443339960238568,0.5034965034965035,0.5625
22,0.8539518900343642,0.6594173441734417,0.37777777777777777,0.9410569105691057,0.4444444444444444,0.5396825396825397
23,0.8676975945017182,0.6921755106451962,0.43157894736842106,0.9527720739219713,0.5157232704402516,0.640625
24,0.8436426116838488,0.6488173662086706,0.35353535353535354,0.9440993788819876,0.43478260869565216,0.5645161290322581
25,0.8573883161512027,0.6873121079417682,0.4470588235294118,0.9275653923541247,0.4779874213836478,0.5135135135135135
26,0.8487972508591065,0.6659793814432989,0.3917525773195876,0.9402061855670103,0.4634146341463415,0.5671641791044776
27,0.872852233676976,0.709787157852331,0.4725274725274725,0.9470468431771895,0.5375,0.6231884057971014
28,0.8642611683848798,0.6644099281573823,0.37362637362637363,0.955193482688391,0.46258503401360546,0.6071428571428571
29,0.8625429553264605,0.6947248271077192,0.45054945054945056,0.9389002036659878,0.5061728395061729,0.5774647887323944
30,0.8539518900343642,0.6571356275303644,0.375,0.9392712550607287,0.4370860927152318,0.5238095238095238
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8487972508591065,0.6073773697536073,0.2376237623762376,0.9771309771309772,0.35294117647058826,0.6857142857142857
2,0.8539518900343642,0.644536554715528,0.32038834951456313,0.9686847599164927,0.4370860927152318,0.6875
3,0.8625429553264605,0.587927565392354,0.2,0.9758551307847082,0.2982456140350877,0.5862068965517241
4,0.8780068728522337,0.6384390243902439,0.3048780487804878,0.972,0.4132231404958678,0.6410256410256411
5,0.865979381443299,0.6262506552407867,0.2808988764044944,0.9716024340770791,0.390625,0.6410256410256411
6,0.8711340206185567,0.6533345881171969,0.32323232323232326,0.9834368530020704,0.460431654676259,0.8
7,0.8848797250859106,0.6633298949737434,0.3488372093023256,0.9778225806451613,0.47244094488188976,0.7317073170731707
8,0.8470790378006873,0.6398253942710008,0.3173076923076923,0.9623430962343096,0.4258064516129032,0.6470588235294118
9,0.8814432989690721,0.6508185301288749,0.3218390804597701,0.9797979797979798,0.448,0.7368421052631579
10,0.8848797250859106,0.610138067061144,0.24,0.980276134122288,0.34951456310679613,0.6428571428571429
11,0.8573883161512027,0.6218025395656975,0.2840909090909091,0.9595141700404858,0.37593984962406013,0.5555555555555556
12,0.8814432989690721,0.6613137659414853,0.3488372093023256,0.9737903225806451,0.46511627906976744,0.6976744186046512
13,0.8591065292096219,0.6375090705191635,0.3118279569892473,0.9631901840490797,0.4142857142857143,0.6170212765957447
14,0.8573883161512027,0.6205962059620596,0.2777777777777778,0.9634146341463414,0.37593984962406013,0.5813953488372093
15,0.8539518900343642,0.6241640946502058,0.28125,0.9670781893004116,0.38848920863309355,0.627906976744186
16,0.8780068728522337,0.6619663231505336,0.3522727272727273,0.97165991902834,0.46616541353383456,0.6888888888888889
17,0.8762886597938144,0.6536335355072626,0.32967032967032966,0.9775967413441955,0.45454545454545453,0.7317073170731707
18,0.8573883161512027,0.6206639004149378,0.26,0.9813278008298755,0.3851851851851852,0.7428571428571429
19,0.8625429553264605,0.6509672538636118,0.3368421052631579,0.9650924024640657,0.4444444444444444,0.6530612244897959
20,0.8487972508591065,0.596333275200558,0.22340425531914893,0.9692622950819673,0.3230769230769231,0.5833333333333334
21,0.8900343642611683,0.6536225683871455,0.3291139240506329,0.9781312127236581,0.4482758620689655,0.7027027027027027
22,0.8625429553264605,0.6191056910569105,0.26666666666666666,0.9715447154471545,0.375,0.631578947368421
23,0.865979381443299,0.6360747865557117,0.29473684210526313,0.9774127310061602,0.417910447761194,0.717948717948718
24,0.8470790378006873,0.5986887508626639,0.2222222222222222,0.9751552795031055,0.3308270676691729,0.6470588235294118
25,0.8762886597938144,0.6496153390933838,0.32941176470588235,0.9698189134808853,0.4375,0.6511627906976745
