Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.826,0.013,0.681,0.026,0.469,0.051,0.892,0.009,0.457,0.04,0.446,0.039
RF,0.854,0.011,0.629,0.019,0.3,0.038,0.957,0.007,0.392,0.04,0.568,0.053
XGB,0.848,0.012,0.518,0.009,0.038,0.019,0.999,0.002,0.072,0.034,0.848,0.182
KNN,0.847,0.013,0.538,0.015,0.087,0.029,0.989,0.004,0.15,0.047,0.587,0.118
MLP,0.774,0.04,0.713,0.023,0.624,0.074,0.802,0.057,0.466,0.038,0.378,0.056
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.7938144329896907,0.6249562586196249,0.36633663366336633,0.8835758835758836,0.38144329896907214,0.3978494623655914
2,0.8264604810996563,0.6888035348724081,0.47572815533980584,0.9018789144050104,0.49246231155778897,0.5104166666666666
3,0.8298969072164949,0.7053497455320156,0.5294117647058824,0.8812877263581489,0.47619047619047616,0.4326923076923077
4,0.8350515463917526,0.6593170731707317,0.4146341463414634,0.904,0.4146341463414634,0.4146341463414634
5,0.8281786941580757,0.6545798482120473,0.4044943820224719,0.9046653144016227,0.4186046511627907,0.43373493975903615
6,0.8230240549828178,0.6845787063178368,0.47474747474747475,0.8944099378881988,0.47715736040609136,0.47959183673469385
7,0.8384879725085911,0.6841710427606902,0.46511627906976744,0.9032258064516129,0.45977011494252873,0.45454545454545453
8,0.8195876288659794,0.7058456710653362,0.5288461538461539,0.8828451882845189,0.5116279069767442,0.4954954954954955
9,0.8419243986254296,0.6891675374433994,0.47126436781609193,0.907070707070707,0.47126436781609193,0.47126436781609193
10,0.8436426116838488,0.6887179487179487,0.48,0.8974358974358975,0.44171779141104295,0.4090909090909091
11,0.8178694158075601,0.6732379462642621,0.4659090909090909,0.8805668016194332,0.43617021276595747,0.41
12,0.8264604810996563,0.7107558139534884,0.5465116279069767,0.875,0.48205128205128206,0.43119266055045874
13,0.8264604810996563,0.6920971040306089,0.4946236559139785,0.8895705521472392,0.47668393782383417,0.46
14,0.8092783505154639,0.6466124661246612,0.4111111111111111,0.8821138211382114,0.4,0.3894736842105263
15,0.8298969072164949,0.6975308641975309,0.5,0.8950617283950617,0.49230769230769234,0.48484848484848486
