Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.854,0.012,0.767,0.028,0.178,0.046,0.98,0.007,0.274,0.057,0.631,0.082
RF,0.827,0.014,0.791,0.024,0.443,0.047,0.898,0.015,0.445,0.042,0.448,0.05
XGB,0.846,0.011,0.793,0.021,0.022,0.013,0.999,0.001,0.043,0.025,0.838,0.28
KNN,0.85,0.015,0.747,0.027,0.155,0.04,0.98,0.007,0.245,0.057,0.588,0.113
MLP,0.776,0.028,0.796,0.026,0.653,0.063,0.799,0.039,0.478,0.036,0.379,0.038
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8264604810996563,0.747915851876248,0.13861386138613863,0.9708939708939709,0.21705426356589147,0.5
2,0.8367697594501718,0.81419624217119,0.18446601941747573,0.9770354906054279,0.2857142857142857,0.6333333333333333
3,0.865979381443299,0.709291040359806,0.24705882352941178,0.971830985915493,0.35,0.6
4,0.872852233676976,0.8141219512195121,0.18292682926829268,0.986,0.28846153846153844,0.6818181818181818
5,0.865979381443299,0.753287599425667,0.21348314606741572,0.9837728194726166,0.3275862068965517,0.7037037037037037
6,0.8419243986254296,0.7872513959470482,0.16161616161616163,0.9813664596273292,0.25806451612903225,0.64
7,0.8573883161512027,0.7833716241560391,0.10465116279069768,0.9879032258064516,0.1782178217821782,0.6
8,0.8402061855670103,0.7810890730608304,0.18269230769230768,0.9832635983263598,0.2900763358778626,0.7037037037037037
9,0.872852233676976,0.7661558109833972,0.25287356321839083,0.9818181818181818,0.3728813559322034,0.7096774193548387
10,0.8711340206185567,0.7639184746877055,0.12,0.9822485207100592,0.1935483870967742,0.5
11,0.8556701030927835,0.7324484725800515,0.2159090909090909,0.9696356275303644,0.3114754098360656,0.5588235294117647
12,0.8625429553264605,0.791963615903976,0.20930232558139536,0.9758064516129032,0.3103448275862069,0.6
13,0.8556701030927835,0.785605910680124,0.11827956989247312,0.9959100204498977,0.20754716981132076,0.8461538461538461
14,0.8539518900343642,0.7585252935862692,0.1111111111111111,0.9898373983739838,0.19047619047619047,0.6666666666666666
15,0.852233676975945,0.791559499314129,0.15625,0.9897119341563786,0.25862068965517243,0.75
16,0.8745704467353952,0.7993766102318733,0.3068181818181818,0.9757085020242915,0.4251968503937008,0.6923076923076923
17,0.8573883161512027,0.7289228083525436,0.17582417582417584,0.9837067209775967,0.2782608695652174,0.6666666666666666
18,0.8419243986254296,0.7398547717842325,0.17,0.9813278008298755,0.2698412698412698,0.6538461538461539
19,0.8556701030927835,0.7817788825245866,0.18947368421052632,0.9856262833675564,0.3,0.72
20,0.852233676975945,0.740582490408092,0.22340425531914893,0.9733606557377049,0.328125,0.6176470588235294
21,0.8711340206185567,0.7890882552784559,0.189873417721519,0.9781312127236581,0.2857142857142857,0.5769230769230769
22,0.8556701030927835,0.7532181571815719,0.12222222222222222,0.9898373983739838,0.20754716981132076,0.6875
23,0.8402061855670103,0.7276991246082352,0.14736842105263157,0.9753593429158111,0.23140495867768596,0.5384615384615384
24,0.8333333333333334,0.7796808666373883,0.1414141414141414,0.9751552795031055,0.224,0.5384615384615384
25,0.8505154639175257,0.7423245354479819,0.18823529411764706,0.9637826961770624,0.2689075630252101,0.47058823529411764
26,0.845360824742268,0.7494739079604633,0.14432989690721648,0.9855670103092784,0.23728813559322035,0.6666666666666666
27,0.8591065292096219,0.8162082316868468,0.2087912087912088,0.9796334012219959,0.31666666666666665,0.6551724137931034
28,0.8539518900343642,0.7444998992860499,0.2087912087912088,0.9735234215885947,0.3089430894308943,0.59375
29,0.845360824742268,0.7944763993643831,0.12087912087912088,0.9796334012219959,0.19642857142857142,0.5238095238095238
30,0.8608247422680413,0.7530824438719175,0.19318181818181818,0.979757085020243,0.2956521739130435,0.6296296296296297
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8333333333333334,0.8117370988658117,0.504950495049505,0.9022869022869023,0.5125628140703518,0.5204081632653061
2,0.8213058419243986,0.8248778806980563,0.47572815533980584,0.8956158663883089,0.48514851485148514,0.494949494949495
3,0.8436426116838488,0.7806130903065452,0.43529411764705883,0.9134808853118712,0.4484848484848485,0.4625
4,0.8419243986254296,0.7963658536585365,0.4634146341463415,0.904,0.4523809523809524,0.4418604651162791
5,0.8127147766323024,0.7941518335346538,0.4157303370786517,0.8843813387423936,0.40437158469945356,0.39361702127659576
6,0.8264604810996563,0.8214442562268648,0.43434343434343436,0.906832298136646,0.45989304812834225,0.48863636363636365
7,0.8316151202749141,0.7835826144036009,0.37209302325581395,0.9112903225806451,0.3950617283950617,0.42105263157894735
8,0.7938144329896907,0.7747525748310268,0.47115384615384615,0.8640167364016736,0.44954128440366975,0.4298245614035088
9,0.845360824742268,0.8382212933937072,0.4827586206896552,0.9090909090909091,0.4827586206896552,0.4827586206896552
10,0.8316151202749141,0.7492570677186062,0.36,0.9013806706114399,0.35526315789473684,0.35064935064935066
11,0.8041237113402062,0.7510121457489879,0.3977272727272727,0.8765182186234818,0.3804347826086957,0.3645833333333333
12,0.8402061855670103,0.8214553638409602,0.5813953488372093,0.8850806451612904,0.5181347150259067,0.4672897196261682
13,0.845360824742268,0.8114871253600722,0.45161290322580644,0.9202453987730062,0.4827586206896552,0.5185185185185185
14,0.8213058419243986,0.7842140921409214,0.4444444444444444,0.8902439024390244,0.43478260869565216,0.425531914893617
15,0.8436426116838488,0.812028463648834,0.4166666666666667,0.9279835390946503,0.4678362573099415,0.5333333333333333
