Classifier,Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
SVM,0.757,0.018,0.687,0.03,0.584,0.057,0.789,0.019,0.429,0.043,0.34,0.039
RF,0.788,0.017,0.665,0.027,0.485,0.051,0.844,0.018,0.417,0.041,0.368,0.042
XGB,0.845,0.012,0.505,0.006,0.01,0.011,1.0,0.001,0.02,0.021,0.593,0.486
KNN,0.85,0.012,0.53,0.012,0.063,0.024,0.996,0.002,0.116,0.042,0.77,0.164
MLP,0.763,0.046,0.675,0.027,0.547,0.104,0.803,0.071,0.42,0.04,0.354,0.062
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: SVM
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.7663230240549829,0.7217430682777219,0.6534653465346535,0.7900207900207901,0.4925373134328358,0.39520958083832336
2,0.7714776632302406,0.7201795812473398,0.6407766990291263,0.7995824634655533,0.4981132075471698,0.4074074074074074
3,0.7405498281786942,0.6432832287844715,0.5058823529411764,0.7806841046277666,0.3628691983122363,0.28289473684210525
4,0.7491408934707904,0.6653902439024391,0.5487804878048781,0.782,0.3813559322033898,0.2922077922077922
5,0.7594501718213058,0.678464799325387,0.5617977528089888,0.795131845841785,0.4166666666666667,0.33112582781456956
6,0.7542955326460481,0.7074157726331639,0.6363636363636364,0.7784679089026915,0.4684014869888476,0.37058823529411766
7,0.7697594501718213,0.653460240060015,0.4883720930232558,0.8185483870967742,0.3853211009174312,0.3181818181818182
8,0.7783505154639175,0.7033110717734149,0.5865384615384616,0.8200836820083682,0.4860557768924303,0.41496598639455784
9,0.7714776632302406,0.7140717520027865,0.632183908045977,0.795959595959596,0.45267489711934156,0.3525641025641026
10,0.738831615120275,0.6399211045364892,0.5066666666666667,0.7731755424063116,0.3333333333333333,0.24836601307189543
11,0.7663230240549829,0.7175883327199116,0.6477272727272727,0.7874493927125507,0.456,0.35185185185185186
12,0.7542955326460481,0.7260877719429857,0.686046511627907,0.7661290322580645,0.4521072796934866,0.33714285714285713
13,0.7680412371134021,0.6921630714427073,0.5806451612903226,0.803680981595092,0.4444444444444444,0.36
14,0.7594501718213058,0.6897696476964771,0.5888888888888889,0.790650406504065,0.43089430894308944,0.33974358974358976
15,0.7371134020618557,0.6754115226337449,0.5833333333333334,0.7674897119341564,0.4226415094339623,0.33136094674556216
16,0.7697594501718213,0.7336216415163782,0.6818181818181818,0.7854251012145749,0.47244094488188976,0.3614457831325301
17,0.7525773195876289,0.6832658176853698,0.5824175824175825,0.7841140529531568,0.424,0.3333333333333333
18,0.7628865979381443,0.6983402489626557,0.6,0.7966804979253111,0.46511627906976744,0.379746835443038
19,0.7628865979381443,0.680384740084297,0.5578947368421052,0.8028747433264887,0.4344262295081967,0.35570469798657717
20,0.7353951890034365,0.6231906173700732,0.4574468085106383,0.7889344262295082,0.35833333333333334,0.2945205479452055
21,0.7663230240549829,0.7047587890379243,0.620253164556962,0.7892644135188867,0.4188034188034188,0.3161290322580645
22,0.7577319587628866,0.6796747967479675,0.5666666666666667,0.7926829268292683,0.41975308641975306,0.3333333333333333
23,0.7405498281786942,0.6331460067005295,0.47368421052631576,0.7926078028747433,0.37344398340248963,0.3082191780821918
24,0.7199312714776632,0.6505740636175419,0.5454545454545454,0.7556935817805382,0.3985239852398524,0.313953488372093
25,0.7749140893470791,0.7121671203692744,0.6235294117647059,0.8008048289738431,0.4472573839662447,0.34868421052631576
26,0.7680412371134021,0.6917525773195876,0.5773195876288659,0.8061855670103093,0.4534412955465587,0.37333333333333335
27,0.7989690721649485,0.7286654282580962,0.6263736263736264,0.8309572301425662,0.4935064935064935,0.40714285714285714
28,0.7680412371134021,0.6969069626910767,0.5934065934065934,0.8004073319755601,0.4444444444444444,0.35526315789473684
29,0.7405498281786942,0.6806136836686735,0.5934065934065934,0.7678207739307535,0.416988416988417,0.32142857142857145
30,0.711340206185567,0.6525119617224882,0.5681818181818182,0.7368421052631579,0.373134328358209,0.2777777777777778
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: RF
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.7835051546391752,0.6539181984726539,0.45544554455445546,0.8523908523908524,0.42201834862385323,0.39316239316239315
2,0.7800687285223368,0.691104039564627,0.5533980582524272,0.8288100208768268,0.47107438016528924,0.41007194244604317
3,0.7852233676975945,0.6353059533672624,0.4235294117647059,0.8470824949698189,0.36548223350253806,0.32142857142857145
4,0.8092783505154639,0.68,0.5,0.86,0.42487046632124353,0.36936936936936937
5,0.7508591065292096,0.6043371242336533,0.39325842696629215,0.8154158215010142,0.32558139534883723,0.2777777777777778
6,0.7835051546391752,0.6487232574189096,0.4444444444444444,0.8530020703933747,0.411214953271028,0.3826086956521739
7,0.7938144329896907,0.6531554763690922,0.45348837209302323,0.8528225806451613,0.3939393939393939,0.3482142857142857
8,0.7869415807560137,0.6859711940778886,0.5288461538461539,0.8430962343096234,0.4700854700854701,0.4230769230769231
9,0.7989690721649485,0.7018112156043189,0.5632183908045977,0.8404040404040404,0.4558139534883721,0.3828125
10,0.7731958762886598,0.6369230769230769,0.4533333333333333,0.8205128205128205,0.34,0.272
11,0.7542955326460481,0.6404582259845417,0.4772727272727273,0.8036437246963563,0.3700440528634361,0.302158273381295
12,0.8092783505154639,0.705481057764441,0.5581395348837209,0.8528225806451613,0.463768115942029,0.39669421487603307
13,0.8109965635738832,0.669833102447391,0.46236559139784944,0.8773006134969326,0.4387755102040816,0.4174757281553398
14,0.8109965635738832,0.6521680216802168,0.4222222222222222,0.8821138211382114,0.40860215053763443,0.3958333333333333
15,0.7800687285223368,0.671875,0.5104166666666666,0.8333333333333334,0.4336283185840708,0.3769230769230769
16,0.7920962199312714,0.7047524843577475,0.5795454545454546,0.8299595141700404,0.45739910313901344,0.37777777777777777
17,0.8058419243986255,0.6790246413464336,0.4945054945054945,0.8635437881873728,0.4433497536945813,0.4017857142857143
18,0.7989690721649485,0.700311203319502,0.55,0.8506224066390041,0.4845814977973568,0.4330708661417323
19,0.8075601374570447,0.6731870744623365,0.47368421052631576,0.8726899383983573,0.44554455445544555,0.4205607476635514
20,0.7749140893470791,0.6381670735960935,0.43617021276595747,0.8401639344262295,0.38497652582159625,0.3445378151260504
21,0.8041237113402062,0.6572715605103556,0.45569620253164556,0.8588469184890656,0.3870967741935484,0.3364485981308411
22,0.8075601374570447,0.7136856368563685,0.5777777777777777,0.8495934959349594,0.48148148148148145,0.4126984126984127
23,0.7800687285223368,0.6355776504917324,0.42105263157894735,0.8501026694045175,0.38461538461538464,0.35398230088495575
24,0.7766323024054983,0.6526130873956959,0.46464646464646464,0.8405797101449275,0.4144144144144144,0.37398373983739835
25,0.7783505154639175,0.6654160255651556,0.5058823529411764,0.8249496981891348,0.4,0.33076923076923076
26,0.7663230240549829,0.6412371134020618,0.4536082474226804,0.8288659793814434,0.39285714285714285,0.3464566929133858
27,0.7938144329896907,0.6763725073297375,0.5054945054945055,0.8472505091649695,0.4339622641509434,0.38016528925619836
28,0.761168384879725,0.6212148340457913,0.4175824175824176,0.824847250509165,0.35348837209302325,0.3064516129032258
29,0.7783505154639175,0.6761598889908461,0.5274725274725275,0.824847250509165,0.4266666666666667,0.3582089552238806
30,0.8006872852233677,0.6771255060728745,0.5,0.854251012145749,0.43137254901960786,0.3793103448275862
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Classifier: XGB
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8281786941580757,0.504950495049505,0.009900990099009901,1.0,0.0196078431372549,1.0
2,0.8264604810996563,0.5097087378640777,0.019417475728155338,1.0,0.0380952380952381,1.0
3,0.8556701030927835,0.5058823529411764,0.011764705882352941,1.0,0.023255813953488372,1.0
4,0.8591065292096219,0.5,0.0,1.0,0.0,0.0
5,0.8470790378006873,0.5,0.0,1.0,0.0,0.0
6,0.8316151202749141,0.5050505050505051,0.010101010101010102,1.0,0.02,1.0
7,0.8556701030927835,0.5116279069767442,0.023255813953488372,1.0,0.045454545454545456,1.0
8,0.8213058419243986,0.5,0.0,1.0,0.0,0.0
9,0.852233676975945,0.5057471264367817,0.011494252873563218,1.0,0.022727272727272728,1.0
10,0.872852233676976,0.5066666666666667,0.013333333333333334,1.0,0.02631578947368421,1.0
11,0.8487972508591065,0.5,0.0,1.0,0.0,0.0
12,0.8539518900343642,0.5058139534883721,0.011627906976744186,1.0,0.022988505747126436,1.0
13,0.8384879725085911,0.49897750511247446,0.0,0.9979550102249489,0.0,0.0
14,0.8487972508591065,0.5111111111111111,0.022222222222222223,1.0,0.043478260869565216,1.0
15,0.8367697594501718,0.5052083333333334,0.010416666666666666,1.0,0.020618556701030927,1.0
16,0.8539518900343642,0.5217151269782849,0.045454545454545456,0.9979757085020243,0.08602150537634409,0.8
17,0.8487972508591065,0.5164835164835165,0.03296703296703297,1.0,0.06382978723404255,1.0
