Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
0.604,0.047,0.611,0.038,0.52,0.142,0.703,0.096,0.569,0.115,0.667,0.048
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.647887323943662,0.6388059701492538,0.47761194029850745,0.8,0.5614035087719298,0.6808510638297872
2,0.6197183098591549,0.647983870967742,0.425,0.8709677419354839,0.5573770491803278,0.8095238095238095
3,0.6126760563380281,0.6126760563380282,0.6056338028169014,0.6197183098591549,0.6099290780141844,0.6142857142857143
4,0.6901408450704225,0.6947263681592039,0.7761194029850746,0.6133333333333333,0.7027027027027027,0.6419753086419753
5,0.6619718309859155,0.6628945801072066,0.6301369863013698,0.6956521739130435,0.6571428571428571,0.6865671641791045
6,0.6056338028169014,0.6037323803851499,0.5362318840579711,0.6712328767123288,0.5692307692307692,0.6065573770491803
7,0.5915492957746479,0.5946428571428571,0.375,0.8142857142857143,0.48214285714285715,0.675
8,0.5845070422535211,0.5999999999999999,0.5,0.7,0.5815602836879432,0.6949152542372882
9,0.44366197183098594,0.5103217972070431,0.037037037037037035,0.9836065573770492,0.07058823529411765,0.75
10,0.6408450704225352,0.6361194029850746,0.72,0.5522388059701493,0.6792452830188679,0.6428571428571429
11,0.6056338028169014,0.614726368159204,0.4533333333333333,0.7761194029850746,0.5483870967741935,0.6938775510204082
12,0.5845070422535211,0.594896331738437,0.4473684210526316,0.7424242424242424,0.5354330708661418,0.6666666666666666
13,0.6056338028169014,0.60056258790436,0.6455696202531646,0.5555555555555556,0.6455696202531646,0.6455696202531646
14,0.5633802816901409,0.5638276752034941,0.547945205479452,0.5797101449275363,0.5633802816901409,0.5797101449275363
15,0.5211267605633803,0.5396730462519936,0.27631578947368424,0.803030303030303,0.38181818181818183,0.6176470588235294
16,0.5985915492957746,0.6017488076311606,0.527027027027027,0.6764705882352942,0.5777777777777777,0.639344262295082
17,0.5633802816901409,0.5701754385964912,0.47368421052631576,0.6666666666666666,0.5373134328358209,0.6206896551724138
18,0.647887323943662,0.648358208955224,0.64,0.6567164179104478,0.6575342465753424,0.676056338028169
19,0.5845070422535211,0.5871031746031745,0.4027777777777778,0.7714285714285715,0.49572649572649574,0.6444444444444445
20,0.6830985915492958,0.6806891025641026,0.7051282051282052,0.65625,0.7096774193548387,0.7142857142857143
21,0.647887323943662,0.6487988882271193,0.6164383561643836,0.6811594202898551,0.6428571428571429,0.6716417910447762
22,0.6056338028169014,0.606547619047619,0.6714285714285714,0.5416666666666666,0.6266666666666667,0.5875
23,0.6126760563380281,0.6213582479405264,0.5443037974683544,0.6984126984126984,0.6099290780141844,0.6935483870967742
24,0.5985915492957746,0.6047297297297297,0.4594594594594595,0.75,0.544,0.6666666666666666
25,0.6056338028169014,0.6075396825396826,0.4722222222222222,0.7428571428571429,0.5483870967741935,0.6538461538461539
26,0.5985915492957746,0.5987012987012987,0.5974025974025974,0.6,0.6174496644295302,0.6388888888888888
27,0.6267605633802817,0.6360887096774194,0.5625,0.7096774193548387,0.6293706293706294,0.7142857142857143
28,0.6338028169014085,0.6387381957002211,0.5949367088607594,0.6825396825396826,0.6438356164383562,0.7014925373134329
29,0.5704225352112676,0.5833835643962226,0.46835443037974683,0.6984126984126984,0.5481481481481482,0.6607142857142857
30,0.5563380281690141,0.5932308970099668,0.4186046511627907,0.7678571428571429,0.5333333333333333,0.7346938775510204
