Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
0.58,0.048,0.578,0.042,0.599,0.257,0.556,0.222,0.566,0.175,0.619,0.106
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.5774647887323944,0.5864676616915423,0.746268656716418,0.4266666666666667,0.625,0.5376344086021505
2,0.6197183098591549,0.5754032258064516,0.925,0.22580645161290322,0.7326732673267327,0.6065573770491803
3,0.5633802816901409,0.5633802816901408,0.8732394366197183,0.2535211267605634,0.6666666666666666,0.5391304347826087
4,0.5774647887323944,0.5808955223880596,0.6417910447761194,0.52,0.589041095890411,0.5443037974683544
5,0.5140845070422535,0.5174707166964463,0.3972602739726027,0.6376811594202898,0.4566929133858268,0.5370370370370371
6,0.5,0.48709549334921576,0.028985507246376812,0.9452054794520548,0.05333333333333334,0.3333333333333333
7,0.5915492957746479,0.589484126984127,0.7361111111111112,0.44285714285714284,0.6463414634146342,0.5760869565217391
8,0.6408450704225352,0.5973577235772357,0.8780487804878049,0.31666666666666665,0.7384615384615385,0.6371681415929203
9,0.6549295774647887,0.6449099372596641,0.7160493827160493,0.5737704918032787,0.703030303030303,0.6904761904761905
10,0.5915492957746479,0.6021890547263682,0.41333333333333333,0.7910447761194029,0.5166666666666667,0.6888888888888889
11,0.6126760563380281,0.6014925373134329,0.8,0.40298507462686567,0.6857142857142857,0.6
12,0.5492957746478874,0.5221291866028709,0.9078947368421053,0.13636363636363635,0.6831683168316832,0.5476190476190477
13,0.5563380281690141,0.5385774562989754,0.6962025316455697,0.38095238095238093,0.6358381502890174,0.5851063829787234
14,0.5492957746478874,0.551320230295811,0.4794520547945205,0.6231884057971014,0.5223880597014925,0.5737704918032787
15,0.5704225352112676,0.5807416267942583,0.4342105263157895,0.7272727272727273,0.5196850393700787,0.6470588235294118
16,0.6549295774647887,0.6450715421303657,0.8783783783783784,0.4117647058823529,0.7262569832402235,0.6190476190476191
17,0.5,0.5209330143540669,0.2236842105263158,0.8181818181818182,0.3238095238095238,0.5862068965517241
18,0.5845070422535211,0.5835820895522389,0.6,0.5671641791044776,0.6040268456375839,0.6081081081081081
19,0.5563380281690141,0.5513888888888889,0.9027777777777778,0.2,0.6735751295336787,0.5371900826446281
20,0.5563380281690141,0.5891426282051282,0.2564102564102564,0.921875,0.3883495145631068,0.8
21,0.647887323943662,0.6424459003375025,0.8356164383561644,0.4492753623188406,0.7093023255813954,0.6161616161616161
22,0.5915492957746479,0.5944444444444444,0.8,0.3888888888888889,0.6588235294117647,0.56
23,0.5845070422535211,0.5880048221820373,0.5569620253164557,0.6190476190476191,0.5986394557823129,0.6470588235294118
24,0.5563380281690141,0.5618044515103339,0.43243243243243246,0.6911764705882353,0.5039370078740157,0.6037735849056604
25,0.5070422535211268,0.5138888888888888,0.027777777777777776,1.0,0.05405405405405406,1.0
26,0.5140845070422535,0.5339660339660339,0.2987012987012987,0.7692307692307693,0.4,0.6052631578947368
27,0.676056338028169,0.6544354838709677,0.825,0.4838709677419355,0.7415730337078652,0.673469387755102
28,0.6126760563380281,0.61332127787824,0.6075949367088608,0.6190476190476191,0.6357615894039735,0.6666666666666666
29,0.5563380281690141,0.578762306610408,0.379746835443038,0.7777777777777778,0.4878048780487805,0.6818181818181818
30,0.6408450704225352,0.6287375415282391,0.686046511627907,0.5714285714285714,0.6982248520710059,0.7108433734939759
