Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
0.585,0.04,0.644,0.046,0.387,0.081,0.809,0.078,0.493,0.069,0.703,0.072
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.647887323943662,0.6960199004975125,0.5223880597014925,0.76,0.5833333333333334,0.660377358490566
2,0.5492957746478874,0.6625000000000001,0.3375,0.8225806451612904,0.4576271186440678,0.7105263157894737
3,0.6408450704225352,0.691132711763539,0.43661971830985913,0.8450704225352113,0.5486725663716814,0.7380952380952381
4,0.6408450704225352,0.7063681592039801,0.373134328358209,0.88,0.49504950495049505,0.7352941176470589
5,0.528169014084507,0.5709747865793131,0.410958904109589,0.6521739130434783,0.47244094488188976,0.5555555555555556
6,0.6056338028169014,0.6085963867381378,0.37681159420289856,0.821917808219178,0.48148148148148145,0.6666666666666666
7,0.6267605633802817,0.6827380952380951,0.375,0.8857142857142857,0.5046728971962616,0.7714285714285715
8,0.5915492957746479,0.6013211382113822,0.45121951219512196,0.7833333333333333,0.5606060606060606,0.74
9,0.6126760563380281,0.7123052013762396,0.4444444444444444,0.8360655737704918,0.5669291338582677,0.782608695652174
10,0.5633802816901409,0.6221890547263681,0.4,0.746268656716418,0.4918032786885246,0.6382978723404256
11,0.6056338028169014,0.6351243781094527,0.37333333333333335,0.8656716417910447,0.5,0.7567567567567568
12,0.5563380281690141,0.604964114832536,0.3815789473684211,0.7575757575757576,0.4793388429752066,0.6444444444444445
13,0.5915492957746479,0.6374321880650995,0.4936708860759494,0.7142857142857143,0.5735294117647058,0.6842105263157895
14,0.5704225352112676,0.6265634306134604,0.3013698630136986,0.855072463768116,0.41904761904761906,0.6875
15,0.528169014084507,0.5745614035087718,0.27631578947368424,0.8181818181818182,0.3853211009174312,0.6363636363636364
16,0.5633802816901409,0.6069157392686805,0.33783783783783783,0.8088235294117647,0.44642857142857145,0.6578947368421053
17,0.5492957746478874,0.659090909090909,0.23684210526315788,0.9090909090909091,0.36,0.75
18,0.5915492957746479,0.6269651741293532,0.38666666666666666,0.8208955223880597,0.5,0.7073170731707317
19,0.5845070422535211,0.6413690476190477,0.3472222222222222,0.8285714285714286,0.45871559633027525,0.6756756756756757
20,0.5845070422535211,0.6529447115384616,0.5384615384615384,0.640625,0.5874125874125874,0.6461538461538462
21,0.5774647887323944,0.6971411554496725,0.3150684931506849,0.855072463768116,0.4339622641509434,0.696969696969697
22,0.6338028169014085,0.6583333333333333,0.4142857142857143,0.8472222222222222,0.5272727272727272,0.725
23,0.5211267605633803,0.5758489049628289,0.4177215189873418,0.6507936507936508,0.4925373134328358,0.6
24,0.5704225352112676,0.6199324324324325,0.47297297297297297,0.6764705882352942,0.5343511450381679,0.6140350877192983
25,0.5915492957746479,0.665079365079365,0.2777777777777778,0.9142857142857143,0.40816326530612246,0.7692307692307693
26,0.5,0.5557442557442557,0.2597402597402597,0.7846153846153846,0.36036036036036034,0.5882352941176471
27,0.6126760563380281,0.690826612903226,0.4375,0.8387096774193549,0.56,0.7777777777777778
28,0.5845070422535211,0.6588306208559372,0.3291139240506329,0.9047619047619048,0.46846846846846846,0.8125
29,0.676056338028169,0.749146071930882,0.5569620253164557,0.8253968253968254,0.6567164179104478,0.8
30,0.5563380281690141,0.6419227574750832,0.313953488372093,0.9285714285714286,0.46153846153846156,0.8709677419354839
