Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
0.779,0.04,0.768,0.032,0.561,0.092,0.819,0.057,0.443,0.054,0.373,0.059
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.7615780445969125,0.7850145448323066,0.6458333333333334,0.784394250513347,0.4714828897338403,0.3712574850299401
2,0.7855917667238422,0.7718379545911191,0.569620253164557,0.8194444444444444,0.4186046511627907,0.33088235294117646
3,0.7975986277873071,0.6985784528503968,0.2926829268292683,0.8802395209580839,0.2891566265060241,0.2857142857142857
4,0.8044596912521441,0.7668256491785903,0.5098039215686274,0.8669438669438669,0.47706422018348627,0.4482758620689655
5,0.8096054888507719,0.8182967162768722,0.5647058823529412,0.8514056224899599,0.463768115942029,0.39344262295081966
6,0.7564322469982847,0.7830290736984449,0.6222222222222222,0.7809330628803245,0.4409448818897638,0.34146341463414637
7,0.7667238421955404,0.7228220320386218,0.5376344086021505,0.810204081632653,0.423728813559322,0.34965034965034963
8,0.8267581475128645,0.7943262411347518,0.5106382978723404,0.8875255623721882,0.4873096446700508,0.46601941747572817
9,0.7667238421955404,0.7576759708737865,0.5339805825242718,0.8166666666666667,0.44715447154471544,0.38461538461538464
10,0.8147512864493996,0.7986284856480008,0.5730337078651685,0.8582995951417004,0.4857142857142857,0.4214876033057851
11,0.8078902229845626,0.7777151682110361,0.5656565656565656,0.8574380165289256,0.5,0.448
12,0.7873070325900514,0.806911441931482,0.6071428571428571,0.8176352705410822,0.45132743362831856,0.3591549295774648
13,0.8250428816466552,0.7776548128473759,0.5432098765432098,0.8705179282868526,0.4631578947368421,0.4036697247706422
14,0.8113207547169812,0.7320906756397768,0.5,0.869653767820774,0.45544554455445546,0.41818181818181815
15,0.7787307032590052,0.7457244160177976,0.5977011494252874,0.8104838709677419,0.44635193133047213,0.3561643835616438
16,0.8010291595197255,0.8311277088154849,0.6632653061224489,0.8288659793814434,0.5284552845528455,0.4391891891891892
17,0.7684391080617495,0.7707798061753437,0.5777777777777777,0.8032454361054767,0.4351464435146444,0.348993288590604
18,0.7101200686106347,0.7461493277639996,0.6808510638297872,0.7157464212678937,0.43097643097643096,0.31527093596059114
19,0.758147512864494,0.7841334234843363,0.6,0.7870182555780934,0.43373493975903615,0.33962264150943394
20,0.8250428816466552,0.7923837576267622,0.5102040816326531,0.8886597938144329,0.49504950495049505,0.4807692307692308
21,0.7975986277873071,0.7659465692033242,0.5957446808510638,0.83640081799591,0.48695652173913045,0.4117647058823529
22,0.7272727272727273,0.7162743905292218,0.5930232558139535,0.7505030181086519,0.39080459770114945,0.2914285714285714
23,0.8113207547169812,0.7663375973303671,0.5287356321839081,0.8608870967741935,0.45544554455445546,0.4
24,0.7478559176672385,0.7659612149118923,0.6086956521739131,0.7739307535641547,0.43243243243243246,0.33532934131736525
25,0.7873070325900514,0.7088601167809089,0.3076923076923077,0.8613861386138614,0.27906976744186046,0.2553191489361702
26,0.6312178387650086,0.7405950052313152,0.7303370786516854,0.6133603238866396,0.37681159420289856,0.25390625
27,0.7427101200686106,0.8246774316689572,0.7027027027027027,0.7521186440677966,0.5098039215686274,0.4
28,0.7941680960548885,0.77563189747241,0.5188679245283019,0.8553459119496856,0.4782608695652174,0.4435483870967742
29,0.7838765008576329,0.764351523742027,0.49411764705882355,0.8333333333333334,0.4,0.336
30,0.7873070325900514,0.7393326661511168,0.5393258426966292,0.8319838056680162,0.43636363636363634,0.366412213740458
