Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
0.784,0.024,0.672,0.031,0.508,0.083,0.835,0.037,0.422,0.041,0.368,0.044
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.8058419243986255,0.6478767419361479,0.40594059405940597,0.8898128898128899,0.4205128205128205,0.43617021276595747
2,0.7800687285223368,0.6225145428380323,0.3786407766990291,0.8663883089770354,0.3786407766990291,0.3786407766990291
3,0.7560137457044673,0.6474612380163334,0.49411764705882355,0.8008048289738431,0.37168141592920356,0.2978723404255319
4,0.7903780068728522,0.714878048780488,0.6097560975609756,0.82,0.45045045045045046,0.35714285714285715
5,0.7938144329896907,0.7033525537297444,0.5730337078651685,0.8336713995943205,0.4594594594594595,0.38345864661654133
6,0.7972508591065293,0.7051885312754879,0.5656565656565656,0.84472049689441,0.48695652173913045,0.42748091603053434
7,0.7903780068728522,0.6703629032258064,0.5,0.8407258064516129,0.41346153846153844,0.3524590163934426
8,0.7766323024054983,0.6909800450595429,0.5576923076923077,0.8242677824267782,0.4715447154471545,0.4084507042253521
9,0.8178694158075601,0.6655520724486241,0.4482758620689655,0.8828282828282829,0.42391304347826086,0.4020618556701031
10,0.7714776632302406,0.6586587771203157,0.5066666666666667,0.8106508875739645,0.36363636363636365,0.2835820895522388
11,0.7319587628865979,0.6553183658446816,0.5454545454545454,0.7651821862348178,0.38095238095238093,0.2926829268292683
12,0.802405498281787,0.7110605776444111,0.5813953488372093,0.8407258064516129,0.46511627906976744,0.3875968992248062
13,0.802405498281787,0.6255359852232997,0.3655913978494624,0.885480572597137,0.37158469945355194,0.37777777777777777
14,0.7474226804123711,0.6327235772357724,0.4666666666666667,0.7987804878048781,0.36363636363636365,0.2978723404255319
15,0.7646048109965635,0.6835133744855967,0.5625,0.8045267489711934,0.44081632653061226,0.3624161073825503
16,0.7749140893470791,0.6759523371365477,0.5340909090909091,0.8178137651821862,0.4177777777777778,0.34306569343065696
17,0.8161512027491409,0.6672299187574137,0.45054945054945056,0.8839103869653768,0.43386243386243384,0.41836734693877553
18,0.7903780068728522,0.7387136929460582,0.66,0.8174273858921162,0.5196850393700787,0.42857142857142855
19,0.7938144329896907,0.6776829136496272,0.5052631578947369,0.8501026694045175,0.4444444444444444,0.39669421487603307
20,0.7920962199312714,0.6956531217300315,0.5531914893617021,0.8381147540983607,0.4622222222222222,0.3969465648854962
21,0.7972508591065293,0.6906409643405391,0.5443037974683544,0.8369781312127237,0.4215686274509804,0.344
22,0.8144329896907216,0.6224254742547426,0.34444444444444444,0.9004065040650406,0.36470588235294116,0.3875
23,0.7199312714776632,0.6420079974062466,0.5263157894736842,0.757700205338809,0.38022813688212925,0.2976190476190476
24,0.8144329896907216,0.6392496392496393,0.37373737373737376,0.9047619047619048,0.4065934065934066,0.4457831325301205
25,0.7989690721649485,0.6336016096579477,0.4,0.8672032193158954,0.3675675675675676,0.34
26,0.7697594501718213,0.6762886597938144,0.5360824742268041,0.8164948453608247,0.4369747899159664,0.36879432624113473
27,0.7628865979381443,0.7072804995411919,0.6263736263736264,0.7881873727087576,0.4523809523809524,0.35403726708074534
28,0.7903780068728522,0.6474787941183053,0.43956043956043955,0.8553971486761711,0.39603960396039606,0.36036036036036034
29,0.781786941580756,0.7095297777578837,0.6043956043956044,0.814663951120163,0.4641350210970464,0.3767123287671233
30,0.7714776632302406,0.6926067353698933,0.5795454545454546,0.805668016194332,0.4340425531914894,0.3469387755102041
