Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
0.761,0.029,0.724,0.033,0.521,0.079,0.805,0.043,0.405,0.041,0.335,0.041
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.738831615120275,0.7363166670097363,0.5841584158415841,0.7713097713097713,0.43703703703703706,0.34911242603550297
2,0.7319587628865979,0.7101465431623326,0.5922330097087378,0.7620041753653445,0.43884892086330934,0.3485714285714286
3,0.7663230240549829,0.7408332347023318,0.5529411764705883,0.8028169014084507,0.40869565217391307,0.32413793103448274
4,0.7680412371134021,0.7302073170731708,0.43902439024390244,0.822,0.34782608695652173,0.288
5,0.7439862542955327,0.7084691296123254,0.5393258426966292,0.7809330628803245,0.39183673469387753,0.3076923076923077
6,0.7439862542955327,0.7439613526570048,0.5757575757575758,0.7784679089026915,0.43346007604562736,0.3475609756097561
7,0.781786941580756,0.735371342835709,0.5,0.8306451612903226,0.40375586854460094,0.33858267716535434
8,0.788659793814433,0.7190014483424525,0.46153846153846156,0.8598326359832636,0.4383561643835616,0.41739130434782606
9,0.7079037800687286,0.7601532567049809,0.7126436781609196,0.7070707070707071,0.4217687074829932,0.2995169082125604
10,0.781786941580756,0.6717554240631163,0.4266666666666667,0.834319526627219,0.33507853403141363,0.27586206896551724
11,0.7663230240549829,0.7023026315789473,0.5227272727272727,0.8097165991902834,0.40350877192982454,0.32857142857142857
12,0.8092783505154639,0.738512753188297,0.4418604651162791,0.8729838709677419,0.40641711229946526,0.37623762376237624
13,0.7594501718213058,0.717505552257185,0.5268817204301075,0.803680981595092,0.4117647058823529,0.33793103448275863
14,0.7491408934707904,0.678884372177055,0.5333333333333333,0.7886178861788617,0.39669421487603307,0.3157894736842105
15,0.788659793814433,0.7575124314128944,0.5,0.845679012345679,0.4383561643835616,0.3902439024390244
16,0.761168384879725,0.7680460986382041,0.5909090909090909,0.791497975708502,0.4279835390946502,0.33548387096774196
17,0.761168384879725,0.7423177637026924,0.5604395604395604,0.7983706720977597,0.42323651452282157,0.34
18,0.7542955326460481,0.7600207468879667,0.63,0.7800829875518672,0.4684014869888476,0.3727810650887574
19,0.7731958762886598,0.7265211282827191,0.5578947368421052,0.8151950718685832,0.44537815126050423,0.3706293706293706
20,0.6890034364261168,0.6887207882804325,0.5212765957446809,0.7213114754098361,0.35125448028673834,0.2648648648648649
21,0.7697594501718213,0.7031985303369654,0.4177215189873418,0.8250497017892644,0.33,0.2727272727272727
22,0.697594501718213,0.6774728997289975,0.6111111111111112,0.7134146341463414,0.38461538461538464,0.28061224489795916
23,0.7457044673539519,0.6788068734464499,0.49473684210526314,0.7946611909650924,0.3884297520661157,0.3197278911564626
24,0.781786941580756,0.7128531693749085,0.43434343434343436,0.8530020703933747,0.40375586854460094,0.37719298245614036
25,0.788659793814433,0.7712510356255179,0.5647058823529412,0.8269617706237424,0.4383561643835616,0.3582089552238806
26,0.7577319587628866,0.6449356998618345,0.27835051546391754,0.8536082474226804,0.27692307692307694,0.2755102040816326
27,0.7783505154639175,0.7493789306416598,0.5384615384615384,0.8228105906313645,0.43171806167400884,0.3602941176470588
28,0.7268041237113402,0.7170273718135225,0.5494505494505495,0.7596741344195519,0.3861003861003861,0.2976190476190476
29,0.7989690721649485,0.7790000223808778,0.4725274725274725,0.8594704684317719,0.4236453201970443,0.38392857142857145
30,0.8092783505154639,0.7486543062200958,0.5113636363636364,0.8623481781376519,0.44776119402985076,0.39823008849557523
